state,year,period,value,footnotes
Wyoming,2016,M12,284248,Reflects revised population controls and model reestimation.
Wyoming,2016,M11,286447,Reflects revised population controls and model reestimation.
Wyoming,2016,M10,287543,Reflects revised population controls and model reestimation.
Wyoming,2016,M09,287974,Reflects revised population controls and model reestimation.
Wyoming,2016,M08,290189,Reflects revised population controls and model reestimation.
Wyoming,2016,M07,291468,Reflects revised population controls and model reestimation.
Wyoming,2016,M06,291137,Reflects revised population controls and model reestimation.
Wyoming,2016,M05,285285,Reflects revised population controls and model reestimation.
Wyoming,2016,M04,284041,Reflects revised population controls and model reestimation.
Wyoming,2016,M03,283549,Reflects revised population controls and model reestimation.
Wyoming,2016,M02,282370,Reflects revised population controls and model reestimation.
Wyoming,2016,M01,282221,Reflects revised population controls and model reestimation.
Wyoming,2015,M12,286400,Reflects revised population controls and model reestimation.
Wyoming,2015,M11,289223,Reflects revised population controls and model reestimation.
Wyoming,2015,M10,292008,Reflects revised population controls and model reestimation.
Wyoming,2015,M09,292846,Reflects revised population controls and model reestimation.
Wyoming,2015,M08,295974,Reflects revised population controls and model reestimation.
Wyoming,2015,M07,298031,Reflects revised population controls and model reestimation.
Wyoming,2015,M06,297987,Reflects revised population controls and model reestimation.
Wyoming,2015,M05,292684,Reflects revised population controls and model reestimation.
Wyoming,2015,M04,291737,Reflects revised population controls and model reestimation.
Wyoming,2015,M03,290909,Reflects revised population controls and model reestimation.
Wyoming,2015,M02,289604,Reflects revised population controls and model reestimation.
Wyoming,2015,M01,288847,Reflects revised population controls and model reestimation.
Wyoming,2014,M12,292140,Reflects revised population controls and model reestimation.
Wyoming,2014,M11,293710,Reflects revised population controls and model reestimation.
Wyoming,2014,M10,295522,Reflects revised population controls and model reestimation.
Wyoming,2014,M09,295118,Reflects revised population controls and model reestimation.
Wyoming,2014,M08,297415,Reflects revised population controls and model reestimation.
Wyoming,2014,M07,299347,Reflects revised population controls and model reestimation.
Wyoming,2014,M06,299179,Reflects revised population controls and model reestimation.
