state,year,period,value,footnotes
District of Columbia,2016,M12,392765,Reflects revised population controls and model reestimation.
District of Columbia,2016,M11,394454,Reflects revised population controls and model reestimation.
District of Columbia,2016,M10,394704,Reflects revised population controls and model reestimation.
District of Columbia,2016,M09,390933,Reflects revised population controls and model reestimation.
District of Columbia,2016,M08,391268,Reflects revised population controls and model reestimation.
District of Columbia,2016,M07,397407,Reflects revised population controls and model reestimation.
District of Columbia,2016,M06,394651,Reflects revised population controls and model reestimation.
District of Columbia,2016,M05,388784,Reflects revised population controls and model reestimation.
District of Columbia,2016,M04,391221,Reflects revised population controls and model reestimation.
District of Columbia,2016,M03,391324,Reflects revised population controls and model reestimation.
District of Columbia,2016,M02,392467,Reflects revised population controls and model reestimation.
District of Columbia,2016,M01,389396,Reflects revised population controls and model reestimation.
District of Columbia,2015,M12,389065,Reflects revised population controls and model reestimation.
District of Columbia,2015,M11,389524,Reflects revised population controls and model reestimation.
District of Columbia,2015,M10,389678,Reflects revised population controls and model reestimation.
District of Columbia,2015,M09,386122,Reflects revised population controls and model reestimation.
District of Columbia,2015,M08,387832,Reflects revised population controls and model reestimation.
District of Columbia,2015,M07,393728,Reflects revised population controls and model reestimation.
District of Columbia,2015,M06,388390,Reflects revised population controls and model reestimation.
District of Columbia,2015,M05,381569,Reflects revised population controls and model reestimation.
District of Columbia,2015,M04,382608,Reflects revised population controls and model reestimation.
District of Columbia,2015,M03,382877,Reflects revised population controls and model reestimation.
District of Columbia,2015,M02,385428,Reflects revised population controls and model reestimation.
District of Columbia,2015,M01,383676,Reflects revised population controls and model reestimation.
District of Columbia,2014,M12,381573,Reflects revised population controls and model reestimation.
District of Columbia,2014,M11,383042,Reflects revised population controls and model reestimation.
District of Columbia,2014,M10,383605,Reflects revised population controls and model reestimation.
District of Columbia,2014,M09,380511,Reflects revised population controls and model reestimation.
District of Columbia,2014,M08,379075,Reflects revised population controls and model reestimation.
District of Columbia,2014,M07,384048,Reflects revised population controls and model reestimation.
District of Columbia,2014,M06,379580,Reflects revised population controls and model reestimation.
District of Columbia,2014,M05,371773,Reflects revised population controls and model reestimation.
District of Columbia,2014,M04,371057,Reflects revised population controls and model reestimation.
District of Columbia,2014,M03,371277,Reflects revised population controls and model reestimation.
District of Columbia,2014,M02,372928,Reflects revised population controls and model reestimation.
District of Columbia,2014,M01,370451,Reflects revised population controls and model reestimation.
District of Columbia,2013,M12,371429,Reflects revised population controls and model reestimation.
District of Columbia,2013,M11,372500,Reflects revised population controls and model reestimation.
District of Columbia,2013,M10,372088,Reflects revised population controls and model reestimation.
District of Columbia,2013,M09,370544,Reflects revised population controls and model reestimation.
District of Columbia,2013,M08,372208,Reflects revised population controls and model reestimation.
District of Columbia,2013,M07,379513,Reflects revised population controls and model reestimation.
District of Columbia,2013,M06,376752,Reflects revised population controls and model reestimation.
District of Columbia,2013,M05,371746,Reflects revised population controls and model reestimation.
District of Columbia,2013,M04,373084,Reflects revised population controls and model reestimation.
District of Columbia,2013,M03,373398,Reflects revised population controls and model reestimation.
