state,year,period,value,footnotes
Virginia,2016,M12,4077960,Reflects revised population controls and model reestimation.
Virginia,2016,M11,4089578,Reflects revised population controls and model reestimation.
Virginia,2016,M10,4087933,Reflects revised population controls and model reestimation.
Virginia,2016,M09,4074123,Reflects revised population controls and model reestimation.
Virginia,2016,M08,4067682,Reflects revised population controls and model reestimation.
Virginia,2016,M07,4103065,Reflects revised population controls and model reestimation.
Virginia,2016,M06,4080272,Reflects revised population controls and model reestimation.
Virginia,2016,M05,4081824,Reflects revised population controls and model reestimation.
Virginia,2016,M04,4073719,Reflects revised population controls and model reestimation.
Virginia,2016,M03,4066926,Reflects revised population controls and model reestimation.
Virginia,2016,M02,4036468,Reflects revised population controls and model reestimation.
Virginia,2016,M01,4003566,Reflects revised population controls and model reestimation.
Virginia,2015,M12,4011264,Reflects revised population controls and model reestimation.
Virginia,2015,M11,4009711,Reflects revised population controls and model reestimation.
Virginia,2015,M10,4012276,Reflects revised population controls and model reestimation.
Virginia,2015,M09,3996920,Reflects revised population controls and model reestimation.
Virginia,2015,M08,4018261,Reflects revised population controls and model reestimation.
Virginia,2015,M07,4058404,Reflects revised population controls and model reestimation.
Virginia,2015,M06,4050093,Reflects revised population controls and model reestimation.
Virginia,2015,M05,4064219,Reflects revised population controls and model reestimation.
Virginia,2015,M04,4052371,Reflects revised population controls and model reestimation.
Virginia,2015,M03,4021059,Reflects revised population controls and model reestimation.
Virginia,2015,M02,4002547,Reflects revised population controls and model reestimation.
Virginia,2015,M01,3993367,Reflects revised population controls and model reestimation.
Virginia,2014,M12,4002285,Reflects revised population controls and model reestimation.
Virginia,2014,M11,4017212,Reflects revised population controls and model reestimation.
Virginia,2014,M10,4035005,Reflects revised population controls and model reestimation.
Virginia,2014,M09,4011448,Reflects revised population controls and model reestimation.
Virginia,2014,M08,4011391,Reflects revised population controls and model reestimation.
Virginia,2014,M07,4059164,Reflects revised population controls and model reestimation.
Virginia,2014,M06,4055534,Reflects revised population controls and model reestimation.
Virginia,2014,M05,4055682,Reflects revised population controls and model reestimation.
Virginia,2014,M04,4049386,Reflects revised population controls and model reestimation.
Virginia,2014,M03,4034955,Reflects revised population controls and model reestimation.
Virginia,2014,M02,4000535,Reflects revised population controls and model reestimation.
Virginia,2014,M01,3984817,Reflects revised population controls and model reestimation.
Virginia,2013,M12,3990587,Reflects revised population controls and model reestimation.
Virginia,2013,M11,3997197,Reflects revised population controls and model reestimation.
Virginia,2013,M10,3973597,Reflects revised population controls and model reestimation.
Virginia,2013,M09,4000293,Reflects revised population controls and model reestimation.
Virginia,2013,M08,4000521,Reflects revised population controls and model reestimation.
Virginia,2013,M07,4038337,Reflects revised population controls and model reestimation.
Virginia,2013,M06,4020774,Reflects revised population controls and model reestimation.
Virginia,2013,M05,4025079,Reflects revised population controls and model reestimation.
Virginia,2013,M04,4010888,Reflects revised population controls and model reestimation.
Virginia,2013,M03,3979673,Reflects revised population controls and model reestimation.
Virginia,2013,M02,3957140,Reflects revised population controls and model reestimation.
Virginia,2013,M01,3940883,Reflects revised population controls and model reestimation.
Virginia,2012,M12,3971067,Reflects revised population controls and model reestimation.
Virginia,2012,M11,3980577,Reflects revised population controls and model reestimation.
Virginia,2012,M10,3999191,Reflects revised population controls and model reestimation.
