state,year,period,value,footnotes
Kansas,2016,M12,1418293,Reflects revised population controls and model reestimation.
Kansas,2016,M11,1426249,Reflects revised population controls and model reestimation.
Kansas,2016,M10,1424048,Reflects revised population controls and model reestimation.
Kansas,2016,M09,1417821,Reflects revised population controls and model reestimation.
Kansas,2016,M08,1410390,Reflects revised population controls and model reestimation.
Kansas,2016,M07,1430231,Reflects revised population controls and model reestimation.
Kansas,2016,M06,1430285,Reflects revised population controls and model reestimation.
Kansas,2016,M05,1418190,Reflects revised population controls and model reestimation.
Kansas,2016,M04,1423658,Reflects revised population controls and model reestimation.
Kansas,2016,M03,1422773,Reflects revised population controls and model reestimation.
Kansas,2016,M02,1423950,Reflects revised population controls and model reestimation.
Kansas,2016,M01,1419572,Reflects revised population controls and model reestimation.
Kansas,2015,M12,1432895,Reflects revised population controls and model reestimation.
Kansas,2015,M11,1439168,Reflects revised population controls and model reestimation.
Kansas,2015,M10,1435579,Reflects revised population controls and model reestimation.
Kansas,2015,M09,1426672,Reflects revised population controls and model reestimation.
Kansas,2015,M08,1420686,Reflects revised population controls and model reestimation.
Kansas,2015,M07,1436555,Reflects revised population controls and model reestimation.
Kansas,2015,M06,1435730,Reflects revised population controls and model reestimation.
Kansas,2015,M05,1420131,Reflects revised population controls and model reestimation.
Kansas,2015,M04,1422009,Reflects revised population controls and model reestimation.
Kansas,2015,M03,1418276,Reflects revised population controls and model reestimation.
Kansas,2015,M02,1418778,Reflects revised population controls and model reestimation.
Kansas,2015,M01,1414683,Reflects revised population controls and model reestimation.
Kansas,2014,M12,1429676,Reflects revised population controls and model reestimation.
Kansas,2014,M11,1437033,Reflects revised population controls and model reestimation.
Kansas,2014,M10,1435080,Reflects revised population controls and model reestimation.
Kansas,2014,M09,1425459,Reflects revised population controls and model reestimation.
Kansas,2014,M08,1418756,Reflects revised population controls and model reestimation.
Kansas,2014,M07,1438499,Reflects revised population controls and model reestimation.
Kansas,2014,M06,1439428,Reflects revised population controls and model reestimation.
Kansas,2014,M05,1423471,Reflects revised population controls and model reestimation.
Kansas,2014,M04,1425243,Reflects revised population controls and model reestimation.
Kansas,2014,M03,1419602,Reflects revised population controls and model reestimation.
Kansas,2014,M02,1414183,Reflects revised population controls and model reestimation.
Kansas,2014,M01,1407897,Reflects revised population controls and model reestimation.
Kansas,2013,M12,1418691,Reflects revised population controls and model reestimation.
Kansas,2013,M11,1422657,Reflects revised population controls and model reestimation.
Kansas,2013,M10,1413843,Reflects revised population controls and model reestimation.
Kansas,2013,M09,1409571,Reflects revised population controls and model reestimation.
Kansas,2013,M08,1401204,Reflects revised population controls and model reestimation.
Kansas,2013,M07,1419344,Reflects revised population controls and model reestimation.
Kansas,2013,M06,1417646,Reflects revised population controls and model reestimation.
Kansas,2013,M05,1402017,Reflects revised population controls and model reestimation.
Kansas,2013,M04,1405383,Reflects revised population controls and model reestimation.
Kansas,2013,M03,1396928,Reflects revised population controls and model reestimation.
Kansas,2013,M02,1396447,Reflects revised population controls and model reestimation.
Kansas,2013,M01,1392108,Reflects revised population controls and model reestimation.
Kansas,2012,M12,1408063,Reflects revised population controls and model reestimation.
Kansas,2012,M11,1413931,Reflects revised population controls and model reestimation.
Kansas,2012,M10,1412005,Reflects revised population controls and model reestimation.
Kansas,2012,M09,1402490,Reflects revised population controls and model reestimation.
Kansas,2012,M08,1392385,Reflects revised population controls and model reestimation.
Kansas,2012,M07,1409591,Reflects revised population controls and model reestimation.
Kansas,2012,M06,1411312,Reflects revised population controls and model reestimation.
Kansas,2012,M05,1394669,Reflects revised population controls and model reestimation.
Kansas,2012,M04,1393995,Reflects revised population controls and model reestimation.
Kansas,2012,M03,1389734,Reflects revised population controls and model reestimation.
Kansas,2012,M02,1389048,Reflects revised population controls and model reestimation.
Kansas,2012,M01,1384236,Reflects revised population controls and model reestimation.
Kansas,2011,M12,1397271,
Kansas,2011,M11,1405083,
Kansas,2011,M10,1402050,
Kansas,2011,M09,1394858,
Kansas,2011,M08,1389439,
Kansas,2011,M07,1406491,
Kansas,2011,M06,1403369,
Kansas,2011,M05,1389403,
Kansas,2011,M04,1390804,
Kansas,2011,M03,1385322,
Kansas,2011,M02,1383766,
Kansas,2011,M01,1381130,
Kansas,2010,M12,1395361,
Kansas,2010,M11,1399997,
Kansas,2010,M10,1398510,
Kansas,2010,M09,1393120,
Kansas,2010,M08,1390040,
Kansas,2010,M07,1409786,
Kansas,2010,M06,1410005,
Kansas,2010,M05,1393687,
Kansas,2010,M04,1395388,
Kansas,2010,M03,1383692,
Kansas,2010,M02,1384713,
Kansas,2010,M01,1385202,
Kansas,2009,M12,1400177,
Kansas,2009,M11,1412334,
Kansas,2009,M10,1409982,
Kansas,2009,M09,1405594,
Kansas,2009,M08,1405332,
Kansas,2009,M07,1428915,
Kansas,2009,M06,1429929,
Kansas,2009,M05,1413947,
Kansas,2009,M04,1418653,
Kansas,2009,M03,1411220,
Kansas,2009,M02,1414984,
Kansas,2009,M01,1415414,
Kansas,2008,M12,1432702,
Kansas,2008,M11,1440743,
Kansas,2008,M10,1439088,
Kansas,2008,M09,1430120,
Kansas,2008,M08,1424908,
Kansas,2008,M07,1447438,
Kansas,2008,M06,1446896,
Kansas,2008,M05,1427041,
Kansas,2008,M04,1429443,
Kansas,2008,M03,1419044,
Kansas,2008,M02,1416270,
Kansas,2008,M01,1413838,
Kansas,2007,M12,1426329,
Kansas,2007,M11,1434312,
Kansas,2007,M10,1429055,
Kansas,2007,M09,1421785,
Kansas,2007,M08,1415923,
Kansas,2007,M07,1438540,
Kansas,2007,M06,1436883,
Kansas,2007,M05,1414159,
Kansas,2007,M04,1413995,
Kansas,2007,M03,1409161,
Kansas,2007,M02,1404611,
