state,year,period,value,footnotes
North Dakota,2016,M12,3.1,Reflects revised population controls and model reestimation.
North Dakota,2016,M11,2.6,Reflects revised population controls and model reestimation.
North Dakota,2016,M10,2.2,Reflects revised population controls and model reestimation.
North Dakota,2016,M09,2.4,Reflects revised population controls and model reestimation.
North Dakota,2016,M08,2.9,Reflects revised population controls and model reestimation.
North Dakota,2016,M07,2.9,Reflects revised population controls and model reestimation.
North Dakota,2016,M06,3.5,Reflects revised population controls and model reestimation.
North Dakota,2016,M05,2.9,Reflects revised population controls and model reestimation.
North Dakota,2016,M04,3.4,Reflects revised population controls and model reestimation.
North Dakota,2016,M03,4.1,Reflects revised population controls and model reestimation.
North Dakota,2016,M02,4.0,Reflects revised population controls and model reestimation.
North Dakota,2016,M01,3.9,Reflects revised population controls and model reestimation.
North Dakota,2015,M12,3.0,Reflects revised population controls and model reestimation.
North Dakota,2015,M11,2.5,Reflects revised population controls and model reestimation.
North Dakota,2015,M10,2.0,Reflects revised population controls and model reestimation.
North Dakota,2015,M09,2.2,Reflects revised population controls and model reestimation.
North Dakota,2015,M08,2.6,Reflects revised population controls and model reestimation.
North Dakota,2015,M07,2.6,Reflects revised population controls and model reestimation.
North Dakota,2015,M06,3.1,Reflects revised population controls and model reestimation.
North Dakota,2015,M05,2.6,Reflects revised population controls and model reestimation.
North Dakota,2015,M04,2.8,Reflects revised population controls and model reestimation.
North Dakota,2015,M03,3.4,Reflects revised population controls and model reestimation.
North Dakota,2015,M02,3.4,Reflects revised population controls and model reestimation.
North Dakota,2015,M01,3.4,Reflects revised population controls and model reestimation.
North Dakota,2014,M12,2.6,Reflects revised population controls and model reestimation.
North Dakota,2014,M11,2.4,Reflects revised population controls and model reestimation.
North Dakota,2014,M10,2.0,Reflects revised population controls and model reestimation.
North Dakota,2014,M09,2.1,Reflects revised population controls and model reestimation.
North Dakota,2014,M08,2.5,Reflects revised population controls and model reestimation.
North Dakota,2014,M07,2.5,Reflects revised population controls and model reestimation.
North Dakota,2014,M06,2.9,Reflects revised population controls and model reestimation.
North Dakota,2014,M05,2.4,Reflects revised population controls and model reestimation.
North Dakota,2014,M04,2.8,Reflects revised population controls and model reestimation.
North Dakota,2014,M03,3.3,Reflects revised population controls and model reestimation.
North Dakota,2014,M02,3.4,Reflects revised population controls and model reestimation.
North Dakota,2014,M01,3.5,Reflects revised population controls and model reestimation.
North Dakota,2013,M12,2.8,Reflects revised population controls and model reestimation.
North Dakota,2013,M11,2.4,Reflects revised population controls and model reestimation.
North Dakota,2013,M10,2.0,Reflects revised population controls and model reestimation.
North Dakota,2013,M09,2.2,Reflects revised population controls and model reestimation.
North Dakota,2013,M08,2.6,Reflects revised population controls and model reestimation.
North Dakota,2013,M07,2.6,Reflects revised population controls and model reestimation.
North Dakota,2013,M06,3.1,Reflects revised population controls and model reestimation.
North Dakota,2013,M05,2.6,Reflects revised population controls and model reestimation.
North Dakota,2013,M04,3.2,Reflects revised population controls and model reestimation.
North Dakota,2013,M03,3.7,Reflects revised population controls and model reestimation.
North Dakota,2013,M02,3.7,Reflects revised population controls and model reestimation.
North Dakota,2013,M01,3.8,Reflects revised population controls and model reestimation.
North Dakota,2012,M12,3.1,Reflects revised population controls and model reestimation.
North Dakota,2012,M11,2.7,Reflects revised population controls and model reestimation.
North Dakota,2012,M10,2.4,Reflects revised population controls and model reestimation.
North Dakota,2012,M09,2.5,Reflects revised population controls and model reestimation.
North Dakota,2012,M08,2.8,Reflects revised population controls and model reestimation.
North Dakota,2012,M07,2.8,Reflects revised population controls and model reestimation.
North Dakota,2012,M06,3.3,Reflects revised population controls and model reestimation.
North Dakota,2012,M05,2.7,Reflects revised population controls and model reestimation.
North Dakota,2012,M04,3.1,Reflects revised population controls and model reestimation.
North Dakota,2012,M03,3.7,Reflects revised population controls and model reestimation.
North Dakota,2012,M02,3.8,Reflects revised population controls and model reestimation.
