state,year,period,value,footnotes
New York,2016,M12,9016545,Reflects revised population controls and model reestimation.
New York,2016,M11,9067995,Reflects revised population controls and model reestimation.
New York,2016,M10,9092934,Reflects revised population controls and model reestimation.
New York,2016,M09,9083479,Reflects revised population controls and model reestimation.
New York,2016,M08,9152826,Reflects revised population controls and model reestimation.
New York,2016,M07,9208843,Reflects revised population controls and model reestimation.
New York,2016,M06,9189246,Reflects revised population controls and model reestimation.
New York,2016,M05,9152009,Reflects revised population controls and model reestimation.
New York,2016,M04,9137622,Reflects revised population controls and model reestimation.
New York,2016,M03,9161575,Reflects revised population controls and model reestimation.
New York,2016,M02,9127083,Reflects revised population controls and model reestimation.
New York,2016,M01,9065724,Reflects revised population controls and model reestimation.
New York,2015,M12,9099149,Reflects revised population controls and model reestimation.
New York,2015,M11,9084879,Reflects revised population controls and model reestimation.
New York,2015,M10,9103708,Reflects revised population controls and model reestimation.
New York,2015,M09,9050253,Reflects revised population controls and model reestimation.
New York,2015,M08,9143075,Reflects revised population controls and model reestimation.
New York,2015,M07,9178078,Reflects revised population controls and model reestimation.
New York,2015,M06,9169192,Reflects revised population controls and model reestimation.
New York,2015,M05,9128411,Reflects revised population controls and model reestimation.
New York,2015,M04,9074527,Reflects revised population controls and model reestimation.
New York,2015,M03,9031064,Reflects revised population controls and model reestimation.
New York,2015,M02,8992334,Reflects revised population controls and model reestimation.
New York,2015,M01,8960453,Reflects revised population controls and model reestimation.
New York,2014,M12,8985135,Reflects revised population controls and model reestimation.
New York,2014,M11,9005641,Reflects revised population controls and model reestimation.
New York,2014,M10,9046041,Reflects revised population controls and model reestimation.
New York,2014,M09,8962996,Reflects revised population controls and model reestimation.
New York,2014,M08,9004603,Reflects revised population controls and model reestimation.
New York,2014,M07,9049902,Reflects revised population controls and model reestimation.
New York,2014,M06,9035367,Reflects revised population controls and model reestimation.
New York,2014,M05,8960739,Reflects revised population controls and model reestimation.
New York,2014,M04,8924913,Reflects revised population controls and model reestimation.
New York,2014,M03,8919074,Reflects revised population controls and model reestimation.
New York,2014,M02,8860280,Reflects revised population controls and model reestimation.
New York,2014,M01,8830554,Reflects revised population controls and model reestimation.
New York,2013,M12,8877991,Reflects revised population controls and model reestimation.
New York,2013,M11,8896428,Reflects revised population controls and model reestimation.
New York,2013,M10,8864162,Reflects revised population controls and model reestimation.
New York,2013,M09,8912767,Reflects revised population controls and model reestimation.
New York,2013,M08,8962386,Reflects revised population controls and model reestimation.
New York,2013,M07,9002682,Reflects revised population controls and model reestimation.
New York,2013,M06,8971281,Reflects revised population controls and model reestimation.
New York,2013,M05,8917835,Reflects revised population controls and model reestimation.
New York,2013,M04,8867536,Reflects revised population controls and model reestimation.
New York,2013,M03,8796406,Reflects revised population controls and model reestimation.
New York,2013,M02,8763998,Reflects revised population controls and model reestimation.
New York,2013,M01,8740538,Reflects revised population controls and model reestimation.
New York,2012,M12,8827014,Reflects revised population controls and model reestimation.
New York,2012,M11,8848186,Reflects revised population controls and model reestimation.
New York,2012,M10,8901067,Reflects revised population controls and model reestimation.
New York,2012,M09,8836721,Reflects revised population controls and model reestimation.
New York,2012,M08,8820927,Reflects revised population controls and model reestimation.
New York,2012,M07,8855026,Reflects revised population controls and model reestimation.
New York,2012,M06,8858766,Reflects revised population controls and model reestimation.
New York,2012,M05,8802540,Reflects revised population controls and model reestimation.
New York,2012,M04,8743936,Reflects revised population controls and model reestimation.
New York,2012,M03,8717093,Reflects revised population controls and model reestimation.
New York,2012,M02,8673664,Reflects revised population controls and model reestimation.
New York,2012,M01,8635675,Reflects revised population controls and model reestimation.
New York,2011,M12,8726027,
New York,2011,M11,8747192,
New York,2011,M10,8760081,
New York,2011,M09,8726310,
New York,2011,M08,8784635,
New York,2011,M07,8780064,
New York,2011,M06,8760229,
New York,2011,M05,8740381,
New York,2011,M04,8729548,
New York,2011,M03,8701218,
New York,2011,M02,8647877,
New York,2011,M01,8633127,
New York,2010,M12,8697247,
New York,2010,M11,8718557,
New York,2010,M10,8767814,
New York,2010,M09,8785730,
New York,2010,M08,8866954,
New York,2010,M07,8882378,
New York,2010,M06,8865867,
New York,2010,M05,8824164,
New York,2010,M04,8832434,
New York,2010,M03,8703452,
New York,2010,M02,8659214,
New York,2010,M01,8632868,
New York,2009,M12,8659858,
New York,2009,M11,8752554,
New York,2009,M10,8758706,
New York,2009,M09,8764073,
New York,2009,M08,8915014,
New York,2009,M07,8982250,
New York,2009,M06,8938340,
New York,2009,M05,8862580,
New York,2009,M04,8892977,
New York,2009,M03,8842188,
New York,2009,M02,8866043,
New York,2009,M01,8899246,
New York,2008,M12,9043764,
New York,2008,M11,9123834,
New York,2008,M10,9180460,
New York,2008,M09,9140174,
New York,2008,M08,9219404,
New York,2008,M07,9279123,
New York,2008,M06,9238810,
New York,2008,M05,9133266,
New York,2008,M04,9139731,
New York,2008,M03,9079370,
New York,2008,M02,9038573,
New York,2008,M01,9052450,
New York,2007,M12,9093206,
New York,2007,M11,9138707,
New York,2007,M10,9102924,
New York,2007,M09,9078301,
New York,2007,M08,9125196,
New York,2007,M07,9195730,
New York,2007,M06,9164410,
New York,2007,M05,9049004,
New York,2007,M04,9024388,
New York,2007,M03,9057783,
New York,2007,M02,9015431,
New York,2007,M01,9013408,
New York,2006,M12,9127709,
New York,2006,M11,9116899,
New York,2006,M10,9134232,
New York,2006,M09,9051369,
New York,2006,M08,9156330,
New York,2006,M07,9183505,
New York,2006,M06,9161864,
New York,2006,M05,9048619,
New York,2006,M04,9021835,
New York,2006,M03,9002066,
New York,2006,M02,8968580,
New York,2006,M01,8957345,
New York,2005,M12,9028067,
New York,2005,M11,9018572,
New York,2005,M10,9064157,
New York,2005,M09,8999285,
New York,2005,M08,9122581,
New York,2005,M07,9125789,
New York,2005,M06,9054869,
New York,2005,M05,8963522,
New York,2005,M04,8934143,
New York,2005,M03,8869796,
New York,2005,M02,8835340,
New York,2005,M01,8826182,
New York,2004,M12,8906169,
New York,2004,M11,8921421,
New York,2004,M10,8914851,
New York,2004,M09,8846048,
New York,2004,M08,8957216,
New York,2004,M07,8976552,
New York,2004,M06,8879859,
New York,2004,M05,8753449,
New York,2004,M04,8715329,
New York,2004,M03,8654206,
New York,2004,M02,8622334,
New York,2004,M01,8603980,
New York,2003,M12,8654526,
New York,2003,M11,8664475,
New York,2003,M10,8665667,
New York,2003,M09,8611360,
New York,2003,M08,8716269,
New York,2003,M07,8750684,
New York,2003,M06,8747510,
New York,2003,M05,8655932,
New York,2003,M04,8670520,
New York,2003,M03,8652415,
New York,2003,M02,8652700,
New York,2003,M01,8632850,
New York,2002,M12,8697278,
New York,2002,M11,8693805,
New York,2002,M10,8768436,
New York,2002,M09,8758465,
New York,2002,M08,8817921,
New York,2002,M07,8819400,
New York,2002,M06,8775346,
New York,2002,M05,8693491,
New York,2002,M04,8651810,
New York,2002,M03,8625608,
New York,2002,M02,8627952,
New York,2002,M01,8534707,
New York,2001,M12,8644575,
New York,2001,M11,8638238,
New York,2001,M10,8669970,
New York,2001,M09,8672816,
New York,2001,M08,8726766,
New York,2001,M07,8827791,
New York,2001,M06,8787430,
New York,2001,M05,8705502,
New York,2001,M04,8701391,
New York,2001,M03,8729809,
New York,2001,M02,8710662,
New York,2001,M01,8703814,
New York,2000,M12,8764571,
New York,2000,M11,8717791,
New York,2000,M10,8723466,
New York,2000,M09,8668829,
New York,2000,M08,8771062,
New York,2000,M07,8804396,
New York,2000,M06,8802696,
New York,2000,M05,8683388,
New York,2000,M04,8713447,
New York,2000,M03,8678431,
New York,2000,M02,8662014,
New York,2000,M01,8634893,
