state,year,period,value,footnotes
Puerto Rico,2016,M12,1002225,Reflects new population controls.
Puerto Rico,2016,M11,989363,Reflects new population controls.
Puerto Rico,2016,M10,964899,Reflects new population controls.
Puerto Rico,2016,M09,972925,Reflects new population controls.
Puerto Rico,2016,M08,973718,Reflects new population controls.
Puerto Rico,2016,M07,984749,Reflects new population controls.
Puerto Rico,2016,M06,988611,Reflects new population controls.
Puerto Rico,2016,M05,1003547,Reflects new population controls.
Puerto Rico,2016,M04,999521,Reflects new population controls.
Puerto Rico,2016,M03,989277,Reflects new population controls.
Puerto Rico,2016,M02,1002230,Reflects new population controls.
Puerto Rico,2016,M01,996905,Reflects new population controls.
Puerto Rico,2015,M12,1022253,Reflects new population controls.
Puerto Rico,2015,M11,994868,Reflects new population controls.
Puerto Rico,2015,M10,980713,Reflects new population controls.
Puerto Rico,2015,M09,985775,Reflects new population controls.
Puerto Rico,2015,M08,973245,Reflects new population controls.
Puerto Rico,2015,M07,980507,Reflects new population controls.
Puerto Rico,2015,M06,970469,Reflects new population controls.
Puerto Rico,2015,M05,966649,Reflects new population controls.
Puerto Rico,2015,M04,973060,Reflects new population controls.
Puerto Rico,2015,M03,993664,Reflects new population controls.
Puerto Rico,2015,M02,1000627,Reflects new population controls.
Puerto Rico,2015,M01,1009897,Reflects new population controls.
Puerto Rico,2014,M12,992502,Reflects new population controls.
Puerto Rico,2014,M11,978078,Reflects new population controls.
Puerto Rico,2014,M10,971779,Reflects new population controls.
Puerto Rico,2014,M09,949567,Reflects new population controls.
Puerto Rico,2014,M08,958682,Reflects new population controls.
Puerto Rico,2014,M07,966155,Reflects new population controls.
Puerto Rico,2014,M06,979405,Reflects new population controls.
Puerto Rico,2014,M05,972982,Reflects new population controls.
Puerto Rico,2014,M04,979377,Reflects new population controls.
Puerto Rico,2014,M03,983093,Reflects new population controls.
Puerto Rico,2014,M02,984869,Reflects new population controls.
Puerto Rico,2014,M01,1001067,Reflects new population controls.
Puerto Rico,2013,M12,992861,Reflects new population controls.
Puerto Rico,2013,M11,1004041,Reflects new population controls.
Puerto Rico,2013,M10,992893,Reflects new population controls.
Puerto Rico,2013,M09,984591,Reflects new population controls.
Puerto Rico,2013,M08,990978,Reflects new population controls.
Puerto Rico,2013,M07,997631,Reflects new population controls.
Puerto Rico,2013,M06,999791,Reflects new population controls.
Puerto Rico,2013,M05,997740,Reflects new population controls.
Puerto Rico,2013,M04,998744,Reflects new population controls.
Puerto Rico,2013,M03,1003984,Reflects new population controls.
Puerto Rico,2013,M02,1012427,Reflects new population controls.
Puerto Rico,2013,M01,1018679,Reflects new population controls.
Puerto Rico,2012,M12,1026308,Reflects new population controls.
Puerto Rico,2012,M11,1025311,Reflects new population controls.
Puerto Rico,2012,M10,1013086,Reflects new population controls.
Puerto Rico,2012,M09,1009668,Reflects new population controls.
Puerto Rico,2012,M08,1011437,Reflects new population controls.
