state,year,period,value,footnotes
Oregon,2016,M12,1967105,Reflects revised population controls and model reestimation.
Oregon,2016,M11,1980731,Reflects revised population controls and model reestimation.
Oregon,2016,M10,1982320,Reflects revised population controls and model reestimation.
Oregon,2016,M09,1980589,Reflects revised population controls and model reestimation.
Oregon,2016,M08,1978769,Reflects revised population controls and model reestimation.
Oregon,2016,M07,1973524,Reflects revised population controls and model reestimation.
Oregon,2016,M06,1964672,Reflects revised population controls and model reestimation.
Oregon,2016,M05,1948925,Reflects revised population controls and model reestimation.
Oregon,2016,M04,1939719,Reflects revised population controls and model reestimation.
Oregon,2016,M03,1927931,Reflects revised population controls and model reestimation.
Oregon,2016,M02,1915645,Reflects revised population controls and model reestimation.
Oregon,2016,M01,1897921,Reflects revised population controls and model reestimation.
Oregon,2015,M12,1908699,Reflects revised population controls and model reestimation.
Oregon,2015,M11,1912771,Reflects revised population controls and model reestimation.
Oregon,2015,M10,1908256,Reflects revised population controls and model reestimation.
Oregon,2015,M09,1898245,Reflects revised population controls and model reestimation.
Oregon,2015,M08,1892530,Reflects revised population controls and model reestimation.
Oregon,2015,M07,1881735,Reflects revised population controls and model reestimation.
Oregon,2015,M06,1870228,Reflects revised population controls and model reestimation.
Oregon,2015,M05,1853182,Reflects revised population controls and model reestimation.
Oregon,2015,M04,1837937,Reflects revised population controls and model reestimation.
Oregon,2015,M03,1819426,Reflects revised population controls and model reestimation.
Oregon,2015,M02,1815500,Reflects revised population controls and model reestimation.
Oregon,2015,M01,1807731,Reflects revised population controls and model reestimation.
Oregon,2014,M12,1825305,Reflects revised population controls and model reestimation.
Oregon,2014,M11,1837728,Reflects revised population controls and model reestimation.
Oregon,2014,M10,1842457,Reflects revised population controls and model reestimation.
Oregon,2014,M09,1836964,Reflects revised population controls and model reestimation.
Oregon,2014,M08,1833768,Reflects revised population controls and model reestimation.
Oregon,2014,M07,1829545,Reflects revised population controls and model reestimation.
Oregon,2014,M06,1817157,Reflects revised population controls and model reestimation.
Oregon,2014,M05,1797194,Reflects revised population controls and model reestimation.
Oregon,2014,M04,1783686,Reflects revised population controls and model reestimation.
Oregon,2014,M03,1765262,Reflects revised population controls and model reestimation.
Oregon,2014,M02,1754321,Reflects revised population controls and model reestimation.
Oregon,2014,M01,1748069,Reflects revised population controls and model reestimation.
Oregon,2013,M12,1763370,Reflects revised population controls and model reestimation.
Oregon,2013,M11,1776047,Reflects revised population controls and model reestimation.
Oregon,2013,M10,1773635,Reflects revised population controls and model reestimation.
Oregon,2013,M09,1781480,Reflects revised population controls and model reestimation.
Oregon,2013,M08,1779493,Reflects revised population controls and model reestimation.
Oregon,2013,M07,1775187,Reflects revised population controls and model reestimation.
Oregon,2013,M06,1765649,Reflects revised population controls and model reestimation.
Oregon,2013,M05,1752042,Reflects revised population controls and model reestimation.
Oregon,2013,M04,1741439,Reflects revised population controls and model reestimation.
Oregon,2013,M03,1726029,Reflects revised population controls and model reestimation.
Oregon,2013,M02,1723961,Reflects revised population controls and model reestimation.
Oregon,2013,M01,1719598,Reflects revised population controls and model reestimation.
Oregon,2012,M12,1748763,Reflects revised population controls and model reestimation.
Oregon,2012,M11,1770250,Reflects revised population controls and model reestimation.
Oregon,2012,M10,1785694,Reflects revised population controls and model reestimation.
Oregon,2012,M09,1789832,Reflects revised population controls and model reestimation.
Oregon,2012,M08,1791673,Reflects revised population controls and model reestimation.
Oregon,2012,M07,1794876,Reflects revised population controls and model reestimation.
Oregon,2012,M06,1794715,Reflects revised population controls and model reestimation.
Oregon,2012,M05,1789296,Reflects revised population controls and model reestimation.
Oregon,2012,M04,1784859,Reflects revised population controls and model reestimation.
