state,year,period,value,footnotes
West Virginia,2016,M12,771785,Reflects revised population controls and model reestimation.
West Virginia,2016,M11,779129,Reflects revised population controls and model reestimation.
West Virginia,2016,M10,788123,Reflects revised population controls and model reestimation.
West Virginia,2016,M09,787174,Reflects revised population controls and model reestimation.
West Virginia,2016,M08,787513,Reflects revised population controls and model reestimation.
West Virginia,2016,M07,791694,Reflects revised population controls and model reestimation.
West Virginia,2016,M06,795837,Reflects revised population controls and model reestimation.
West Virginia,2016,M05,785503,Reflects revised population controls and model reestimation.
West Virginia,2016,M04,782789,Reflects revised population controls and model reestimation.
West Virginia,2016,M03,776928,Reflects revised population controls and model reestimation.
West Virginia,2016,M02,780879,Reflects revised population controls and model reestimation.
West Virginia,2016,M01,774279,Reflects revised population controls and model reestimation.
West Virginia,2015,M12,773280,Reflects revised population controls and model reestimation.
West Virginia,2015,M11,777074,Reflects revised population controls and model reestimation.
West Virginia,2015,M10,783633,Reflects revised population controls and model reestimation.
West Virginia,2015,M09,782634,Reflects revised population controls and model reestimation.
West Virginia,2015,M08,787186,Reflects revised population controls and model reestimation.
West Virginia,2015,M07,794186,Reflects revised population controls and model reestimation.
West Virginia,2015,M06,799077,Reflects revised population controls and model reestimation.
West Virginia,2015,M05,788860,Reflects revised population controls and model reestimation.
West Virginia,2015,M04,785695,Reflects revised population controls and model reestimation.
West Virginia,2015,M03,776224,Reflects revised population controls and model reestimation.
West Virginia,2015,M02,778066,Reflects revised population controls and model reestimation.
West Virginia,2015,M01,772756,Reflects revised population controls and model reestimation.
West Virginia,2014,M12,772321,Reflects revised population controls and model reestimation.
West Virginia,2014,M11,779068,Reflects revised population controls and model reestimation.
West Virginia,2014,M10,788898,Reflects revised population controls and model reestimation.
West Virginia,2014,M09,786872,Reflects revised population controls and model reestimation.
West Virginia,2014,M08,789203,Reflects revised population controls and model reestimation.
West Virginia,2014,M07,795817,Reflects revised population controls and model reestimation.
West Virginia,2014,M06,800539,Reflects revised population controls and model reestimation.
West Virginia,2014,M05,794704,Reflects revised population controls and model reestimation.
West Virginia,2014,M04,792725,Reflects revised population controls and model reestimation.
West Virginia,2014,M03,788689,Reflects revised population controls and model reestimation.
West Virginia,2014,M02,792263,Reflects revised population controls and model reestimation.
West Virginia,2014,M01,786375,Reflects revised population controls and model reestimation.
West Virginia,2013,M12,786333,Reflects revised population controls and model reestimation.
West Virginia,2013,M11,791811,Reflects revised population controls and model reestimation.
West Virginia,2013,M10,797058,Reflects revised population controls and model reestimation.
West Virginia,2013,M09,799428,Reflects revised population controls and model reestimation.
West Virginia,2013,M08,800613,Reflects revised population controls and model reestimation.
West Virginia,2013,M07,806468,Reflects revised population controls and model reestimation.
West Virginia,2013,M06,811203,Reflects revised population controls and model reestimation.
West Virginia,2013,M05,800508,Reflects revised population controls and model reestimation.
West Virginia,2013,M04,799197,Reflects revised population controls and model reestimation.
West Virginia,2013,M03,791508,Reflects revised population controls and model reestimation.
West Virginia,2013,M02,797561,Reflects revised population controls and model reestimation.
West Virginia,2013,M01,796379,Reflects revised population controls and model reestimation.
West Virginia,2012,M12,799724,Reflects revised population controls and model reestimation.
West Virginia,2012,M11,804246,Reflects revised population controls and model reestimation.
West Virginia,2012,M10,813548,Reflects revised population controls and model reestimation.
West Virginia,2012,M09,812127,Reflects revised population controls and model reestimation.
West Virginia,2012,M08,810068,Reflects revised population controls and model reestimation.
West Virginia,2012,M07,816043,Reflects revised population controls and model reestimation.
West Virginia,2012,M06,821842,Reflects revised population controls and model reestimation.
West Virginia,2012,M05,813413,Reflects revised population controls and model reestimation.
West Virginia,2012,M04,807322,Reflects revised population controls and model reestimation.
West Virginia,2012,M03,798965,Reflects revised population controls and model reestimation.
West Virginia,2012,M02,801786,Reflects revised population controls and model reestimation.
West Virginia,2012,M01,795922,Reflects revised population controls and model reestimation.
West Virginia,2011,M12,801402,
West Virginia,2011,M11,805724,
West Virginia,2011,M10,811912,
West Virginia,2011,M09,811911,
West Virginia,2011,M08,809132,
West Virginia,2011,M07,808138,
West Virginia,2011,M06,814505,
West Virginia,2011,M05,806568,
West Virginia,2011,M04,807074,
West Virginia,2011,M03,801157,
West Virginia,2011,M02,804698,
West Virginia,2011,M01,802036,
West Virginia,2010,M12,804033,
West Virginia,2010,M11,808559,
West Virginia,2010,M10,813557,
West Virginia,2010,M09,816165,
West Virginia,2010,M08,814502,
West Virginia,2010,M07,816453,
West Virginia,2010,M06,818874,
West Virginia,2010,M05,813742,
West Virginia,2010,M04,811990,
West Virginia,2010,M03,804107,
West Virginia,2010,M02,808540,
West Virginia,2010,M01,802977,
West Virginia,2009,M12,800282,
West Virginia,2009,M11,808199,
West Virginia,2009,M10,814200,
West Virginia,2009,M09,815372,
West Virginia,2009,M08,818198,
West Virginia,2009,M07,825970,
West Virginia,2009,M06,829437,
West Virginia,2009,M05,819274,
West Virginia,2009,M04,818093,
West Virginia,2009,M03,806702,
West Virginia,2009,M02,808836,
West Virginia,2009,M01,803752,
West Virginia,2008,M12,803663,
West Virginia,2008,M11,809560,
West Virginia,2008,M10,816165,
West Virginia,2008,M09,815060,
West Virginia,2008,M08,812898,
West Virginia,2008,M07,819438,
West Virginia,2008,M06,823470,
West Virginia,2008,M05,817134,
West Virginia,2008,M04,814929,
West Virginia,2008,M03,807302,
West Virginia,2008,M02,808741,
West Virginia,2008,M01,806503,
West Virginia,2007,M12,807619,
West Virginia,2007,M11,813431,
West Virginia,2007,M10,816779,
West Virginia,2007,M09,817313,
West Virginia,2007,M08,814483,
West Virginia,2007,M07,821068,
West Virginia,2007,M06,821494,
West Virginia,2007,M05,810353,
West Virginia,2007,M04,807768,
West Virginia,2007,M03,802149,
West Virginia,2007,M02,803817,
West Virginia,2007,M01,797648,
West Virginia,2006,M12,801726,
West Virginia,2006,M11,807680,
West Virginia,2006,M10,812641,
West Virginia,2006,M09,812340,
West Virginia,2006,M08,812862,
West Virginia,2006,M07,816844,
West Virginia,2006,M06,818726,
West Virginia,2006,M05,808465,
West Virginia,2006,M04,803084,
West Virginia,2006,M03,794993,
West Virginia,2006,M02,795490,
West Virginia,2006,M01,789170,
West Virginia,2005,M12,790906,
West Virginia,2005,M11,795483,
West Virginia,2005,M10,800194,
West Virginia,2005,M09,799418,
West Virginia,2005,M08,798614,
West Virginia,2005,M07,802446,
West Virginia,2005,M06,800787,
West Virginia,2005,M05,788607,
West Virginia,2005,M04,785847,
West Virginia,2005,M03,778113,
West Virginia,2005,M02,778166,
West Virginia,2005,M01,773205,
West Virginia,2004,M12,775744,
West Virginia,2004,M11,780699,
West Virginia,2004,M10,785334,
West Virginia,2004,M09,783609,
West Virginia,2004,M08,786148,
West Virginia,2004,M07,793464,
West Virginia,2004,M06,795048,
West Virginia,2004,M05,786116,
West Virginia,2004,M04,784062,
West Virginia,2004,M03,777284,
West Virginia,2004,M02,780336,
West Virginia,2004,M01,776047,
West Virginia,2003,M12,777284,
West Virginia,2003,M11,781393,
West Virginia,2003,M10,785897,
West Virginia,2003,M09,784750,
West Virginia,2003,M08,786922,
West Virginia,2003,M07,794269,
West Virginia,2003,M06,799103,
West Virginia,2003,M05,787644,
West Virginia,2003,M04,789047,
West Virginia,2003,M03,781707,
West Virginia,2003,M02,786921,
West Virginia,2003,M01,783691,
