state,year,period,value,footnotes
Texas,2016,M12,12747329,Reflects revised population controls and model reestimation.
Texas,2016,M11,12771219,Reflects revised population controls and model reestimation.
Texas,2016,M10,12725859,Reflects revised population controls and model reestimation.
Texas,2016,M09,12712681,Reflects revised population controls and model reestimation.
Texas,2016,M08,12638955,Reflects revised population controls and model reestimation.
Texas,2016,M07,12681873,Reflects revised population controls and model reestimation.
Texas,2016,M06,12656717,Reflects revised population controls and model reestimation.
Texas,2016,M05,12679140,Reflects revised population controls and model reestimation.
Texas,2016,M04,12672854,Reflects revised population controls and model reestimation.
Texas,2016,M03,12648877,Reflects revised population controls and model reestimation.
Texas,2016,M02,12604648,Reflects revised population controls and model reestimation.
Texas,2016,M01,12521460,Reflects revised population controls and model reestimation.
Texas,2015,M12,12540698,Reflects revised population controls and model reestimation.
Texas,2015,M11,12533049,Reflects revised population controls and model reestimation.
Texas,2015,M10,12497269,Reflects revised population controls and model reestimation.
Texas,2015,M09,12449651,Reflects revised population controls and model reestimation.
Texas,2015,M08,12420060,Reflects revised population controls and model reestimation.
Texas,2015,M07,12451762,Reflects revised population controls and model reestimation.
Texas,2015,M06,12466343,Reflects revised population controls and model reestimation.
Texas,2015,M05,12506184,Reflects revised population controls and model reestimation.
Texas,2015,M04,12492598,Reflects revised population controls and model reestimation.
Texas,2015,M03,12427747,Reflects revised population controls and model reestimation.
Texas,2015,M02,12404530,Reflects revised population controls and model reestimation.
Texas,2015,M01,12366482,Reflects revised population controls and model reestimation.
Texas,2014,M12,12410089,Reflects revised population controls and model reestimation.
Texas,2014,M11,12438759,Reflects revised population controls and model reestimation.
Texas,2014,M10,12440400,Reflects revised population controls and model reestimation.
Texas,2014,M09,12371374,Reflects revised population controls and model reestimation.
Texas,2014,M08,12298759,Reflects revised population controls and model reestimation.
Texas,2014,M07,12348734,Reflects revised population controls and model reestimation.
Texas,2014,M06,12357463,Reflects revised population controls and model reestimation.
Texas,2014,M05,12359038,Reflects revised population controls and model reestimation.
Texas,2014,M04,12355821,Reflects revised population controls and model reestimation.
