state,year,period,value,footnotes
North Carolina,2016,M12,4.9,Reflects revised population controls and model reestimation.
North Carolina,2016,M11,4.9,Reflects revised population controls and model reestimation.
North Carolina,2016,M10,5.1,Reflects revised population controls and model reestimation.
North Carolina,2016,M09,5.0,Reflects revised population controls and model reestimation.
North Carolina,2016,M08,5.3,Reflects revised population controls and model reestimation.
North Carolina,2016,M07,5.2,Reflects revised population controls and model reestimation.
North Carolina,2016,M06,5.2,Reflects revised population controls and model reestimation.
North Carolina,2016,M05,4.7,Reflects revised population controls and model reestimation.
North Carolina,2016,M04,4.7,Reflects revised population controls and model reestimation.
North Carolina,2016,M03,5.0,Reflects revised population controls and model reestimation.
North Carolina,2016,M02,5.3,Reflects revised population controls and model reestimation.
North Carolina,2016,M01,5.4,Reflects revised population controls and model reestimation.
North Carolina,2015,M12,5.2,Reflects revised population controls and model reestimation.
North Carolina,2015,M11,5.4,Reflects revised population controls and model reestimation.
North Carolina,2015,M10,5.4,Reflects revised population controls and model reestimation.
North Carolina,2015,M09,5.4,Reflects revised population controls and model reestimation.
North Carolina,2015,M08,6.0,Reflects revised population controls and model reestimation.
North Carolina,2015,M07,6.3,Reflects revised population controls and model reestimation.
North Carolina,2015,M06,6.2,Reflects revised population controls and model reestimation.
North Carolina,2015,M05,6.1,Reflects revised population controls and model reestimation.
North Carolina,2015,M04,5.4,Reflects revised population controls and model reestimation.
North Carolina,2015,M03,5.6,Reflects revised population controls and model reestimation.
North Carolina,2015,M02,5.9,Reflects revised population controls and model reestimation.
North Carolina,2015,M01,6.1,Reflects revised population controls and model reestimation.
North Carolina,2014,M12,5.4,Reflects revised population controls and model reestimation.
North Carolina,2014,M11,5.7,Reflects revised population controls and model reestimation.
North Carolina,2014,M10,5.7,Reflects revised population controls and model reestimation.
North Carolina,2014,M09,5.8,Reflects revised population controls and model reestimation.
North Carolina,2014,M08,6.8,Reflects revised population controls and model reestimation.
North Carolina,2014,M07,6.9,Reflects revised population controls and model reestimation.
North Carolina,2014,M06,6.5,Reflects revised population controls and model reestimation.
North Carolina,2014,M05,6.4,Reflects revised population controls and model reestimation.
North Carolina,2014,M04,5.8,Reflects revised population controls and model reestimation.
North Carolina,2014,M03,6.7,Reflects revised population controls and model reestimation.
North Carolina,2014,M02,7.0,Reflects revised population controls and model reestimation.
North Carolina,2014,M01,6.9,Reflects revised population controls and model reestimation.
North Carolina,2013,M12,6.6,Reflects revised population controls and model reestimation.
North Carolina,2013,M11,6.9,Reflects revised population controls and model reestimation.
North Carolina,2013,M10,7.2,Reflects revised population controls and model reestimation.
North Carolina,2013,M09,7.2,Reflects revised population controls and model reestimation.
North Carolina,2013,M08,7.9,Reflects revised population controls and model reestimation.
North Carolina,2013,M07,8.4,Reflects revised population controls and model reestimation.
North Carolina,2013,M06,8.6,Reflects revised population controls and model reestimation.
North Carolina,2013,M05,8.1,Reflects revised population controls and model reestimation.
North Carolina,2013,M04,7.8,Reflects revised population controls and model reestimation.
North Carolina,2013,M03,8.3,Reflects revised population controls and model reestimation.
North Carolina,2013,M02,9.1,Reflects revised population controls and model reestimation.
North Carolina,2013,M01,9.7,Reflects revised population controls and model reestimation.
North Carolina,2012,M12,9.0,Reflects revised population controls and model reestimation.
North Carolina,2012,M11,8.7,Reflects revised population controls and model reestimation.
North Carolina,2012,M10,8.8,Reflects revised population controls and model reestimation.
North Carolina,2012,M09,8.7,Reflects revised population controls and model reestimation.
North Carolina,2012,M08,9.6,Reflects revised population controls and model reestimation.
North Carolina,2012,M07,9.9,Reflects revised population controls and model reestimation.
North Carolina,2012,M06,9.7,Reflects revised population controls and model reestimation.
North Carolina,2012,M05,9.2,Reflects revised population controls and model reestimation.
North Carolina,2012,M04,8.7,Reflects revised population controls and model reestimation.
North Carolina,2012,M03,9.3,Reflects revised population controls and model reestimation.
North Carolina,2012,M02,9.9,Reflects revised population controls and model reestimation.
North Carolina,2012,M01,10.0,Reflects revised population controls and model reestimation.
North Carolina,2011,M12,9.7,
North Carolina,2011,M11,9.6,
North Carolina,2011,M10,9.9,
North Carolina,2011,M09,10.2,
North Carolina,2011,M08,10.7,
North Carolina,2011,M07,10.7,
North Carolina,2011,M06,10.8,
North Carolina,2011,M05,10.1,
North Carolina,2011,M04,9.9,
North Carolina,2011,M03,10.2,
North Carolina,2011,M02,10.6,
North Carolina,2011,M01,10.9,
North Carolina,2010,M12,10.3,
North Carolina,2010,M11,10.5,
North Carolina,2010,M10,9.9,
North Carolina,2010,M09,10.0,
North Carolina,2010,M08,10.5,
North Carolina,2010,M07,10.8,
North Carolina,2010,M06,10.9,
North Carolina,2010,M05,10.9,
North Carolina,2010,M04,10.9,
North Carolina,2010,M03,11.5,
North Carolina,2010,M02,12.0,
North Carolina,2010,M01,12.0,
North Carolina,2009,M12,11.0,
North Carolina,2009,M11,10.6,
North Carolina,2009,M10,10.6,
North Carolina,2009,M09,10.4,
North Carolina,2009,M08,10.6,
North Carolina,2009,M07,10.8,
North Carolina,2009,M06,10.8,
North Carolina,2009,M05,10.6,
North Carolina,2009,M04,10.1,
North Carolina,2009,M03,10.5,
North Carolina,2009,M02,10.7,
North Carolina,2009,M01,10.2,
North Carolina,2008,M12,8.7,
North Carolina,2008,M11,7.9,
North Carolina,2008,M10,6.0,
North Carolina,2008,M09,5.9,
North Carolina,2008,M08,6.3,
North Carolina,2008,M07,6.3,
North Carolina,2008,M06,5.9,
North Carolina,2008,M05,5.5,
North Carolina,2008,M04,4.9,
North Carolina,2008,M03,5.2,
North Carolina,2008,M02,5.3,
North Carolina,2008,M01,5.3,
North Carolina,2007,M12,4.9,
North Carolina,2007,M11,4.6,
North Carolina,2007,M10,4.5,
North Carolina,2007,M09,4.5,
North Carolina,2007,M08,4.7,
North Carolina,2007,M07,5.1,
North Carolina,2007,M06,4.9,
North Carolina,2007,M05,4.6,
North Carolina,2007,M04,4.5,
North Carolina,2007,M03,4.4,
North Carolina,2007,M02,4.9,
North Carolina,2007,M01,5.1,
North Carolina,2006,M12,4.5,
North Carolina,2006,M11,4.7,
North Carolina,2006,M10,4.4,
North Carolina,2006,M09,4.6,
North Carolina,2006,M08,5.0,
North Carolina,2006,M07,5.2,
North Carolina,2006,M06,5.0,
North Carolina,2006,M05,4.7,
North Carolina,2006,M04,4.5,
North Carolina,2006,M03,4.6,
North Carolina,2006,M02,5.0,
North Carolina,2006,M01,4.8,
North Carolina,2005,M12,4.5,
North Carolina,2005,M11,5.0,
North Carolina,2005,M10,4.8,
North Carolina,2005,M09,4.9,
North Carolina,2005,M08,5.1,
North Carolina,2005,M07,5.6,
North Carolina,2005,M06,5.5,
North Carolina,2005,M05,5.2,
North Carolina,2005,M04,5.1,
North Carolina,2005,M03,5.4,
North Carolina,2005,M02,6.0,
North Carolina,2005,M01,5.7,
North Carolina,2004,M12,5.2,
North Carolina,2004,M11,5.3,
North Carolina,2004,M10,4.9,
North Carolina,2004,M09,4.7,
North Carolina,2004,M08,5.2,
North Carolina,2004,M07,5.6,
North Carolina,2004,M06,5.9,
North Carolina,2004,M05,5.5,
North Carolina,2004,M04,5.4,
North Carolina,2004,M03,5.9,
North Carolina,2004,M02,6.0,
North Carolina,2004,M01,6.3,
North Carolina,2003,M12,5.6,
North Carolina,2003,M11,6.1,
North Carolina,2003,M10,5.9,
North Carolina,2003,M09,6.0,
North Carolina,2003,M08,6.5,
North Carolina,2003,M07,6.8,
North Carolina,2003,M06,7.0,
North Carolina,2003,M05,6.4,
North Carolina,2003,M04,6.3,
North Carolina,2003,M03,6.3,
North Carolina,2003,M02,6.7,
North Carolina,2003,M01,6.9,
North Carolina,2002,M12,6.5,
North Carolina,2002,M11,6.5,
North Carolina,2002,M10,6.0,
North Carolina,2002,M09,5.9,
North Carolina,2002,M08,6.4,
North Carolina,2002,M07,6.8,
North Carolina,2002,M06,6.9,
North Carolina,2002,M05,6.6,
North Carolina,2002,M04,6.8,
North Carolina,2002,M03,7.0,
North Carolina,2002,M02,7.1,
North Carolina,2002,M01,7.4,
North Carolina,2001,M12,6.5,
North Carolina,2001,M11,6.5,
North Carolina,2001,M10,6.0,
North Carolina,2001,M09,5.6,
North Carolina,2001,M08,5.8,
North Carolina,2001,M07,5.6,
North Carolina,2001,M06,5.4,
North Carolina,2001,M05,5.0,
North Carolina,2001,M04,4.8,
North Carolina,2001,M03,5.1,
North Carolina,2001,M02,5.0,
North Carolina,2001,M01,4.9,
North Carolina,2000,M12,3.9,
North Carolina,2000,M11,3.9,
North Carolina,2000,M10,3.7,
