state,year,period,value,footnotes
Florida,2016,M12,4.7,Reflects revised population controls and model reestimation.
Florida,2016,M11,4.8,Reflects revised population controls and model reestimation.
Florida,2016,M10,4.9,Reflects revised population controls and model reestimation.
Florida,2016,M09,5.1,Reflects revised population controls and model reestimation.
Florida,2016,M08,5.2,Reflects revised population controls and model reestimation.
Florida,2016,M07,5.1,Reflects revised population controls and model reestimation.
Florida,2016,M06,5.1,Reflects revised population controls and model reestimation.
Florida,2016,M05,4.5,Reflects revised population controls and model reestimation.
Florida,2016,M04,4.6,Reflects revised population controls and model reestimation.
Florida,2016,M03,4.8,Reflects revised population controls and model reestimation.
Florida,2016,M02,4.7,Reflects revised population controls and model reestimation.
Florida,2016,M01,5.0,Reflects revised population controls and model reestimation.
Florida,2015,M12,4.9,Reflects revised population controls and model reestimation.
Florida,2015,M11,5.0,Reflects revised population controls and model reestimation.
Florida,2015,M10,5.2,Reflects revised population controls and model reestimation.
Florida,2015,M09,5.4,Reflects revised population controls and model reestimation.
Florida,2015,M08,5.6,Reflects revised population controls and model reestimation.
Florida,2015,M07,5.8,Reflects revised population controls and model reestimation.
Florida,2015,M06,5.6,Reflects revised population controls and model reestimation.
Florida,2015,M05,5.5,Reflects revised population controls and model reestimation.
Florida,2015,M04,5.2,Reflects revised population controls and model reestimation.
Florida,2015,M03,5.4,Reflects revised population controls and model reestimation.
Florida,2015,M02,5.5,Reflects revised population controls and model reestimation.
Florida,2015,M01,5.9,Reflects revised population controls and model reestimation.
Florida,2014,M12,5.5,Reflects revised population controls and model reestimation.
Florida,2014,M11,5.8,Reflects revised population controls and model reestimation.
Florida,2014,M10,5.9,Reflects revised population controls and model reestimation.
Florida,2014,M09,6.2,Reflects revised population controls and model reestimation.
Florida,2014,M08,6.6,Reflects revised population controls and model reestimation.
Florida,2014,M07,6.7,Reflects revised population controls and model reestimation.
Florida,2014,M06,6.4,Reflects revised population controls and model reestimation.
Florida,2014,M05,6.3,Reflects revised population controls and model reestimation.
Florida,2014,M04,6.0,Reflects revised population controls and model reestimation.
Florida,2014,M03,6.5,Reflects revised population controls and model reestimation.
Florida,2014,M02,6.6,Reflects revised population controls and model reestimation.
Florida,2014,M01,6.7,Reflects revised population controls and model reestimation.
Florida,2013,M12,6.3,Reflects revised population controls and model reestimation.
Florida,2013,M11,6.6,Reflects revised population controls and model reestimation.
Florida,2013,M10,6.9,Reflects revised population controls and model reestimation.
Florida,2013,M09,7.1,Reflects revised population controls and model reestimation.
Florida,2013,M08,7.4,Reflects revised population controls and model reestimation.
Florida,2013,M07,7.6,Reflects revised population controls and model reestimation.
Florida,2013,M06,7.7,Reflects revised population controls and model reestimation.
Florida,2013,M05,7.2,Reflects revised population controls and model reestimation.
Florida,2013,M04,7.0,Reflects revised population controls and model reestimation.
Florida,2013,M03,7.2,Reflects revised population controls and model reestimation.
Florida,2013,M02,7.6,Reflects revised population controls and model reestimation.
Florida,2013,M01,8.2,Reflects revised population controls and model reestimation.
