state,year,period,value,footnotes
Ohio,2016,M12,4.8,Reflects revised population controls and model reestimation.
Ohio,2016,M11,4.5,Reflects revised population controls and model reestimation.
Ohio,2016,M10,4.7,Reflects revised population controls and model reestimation.
Ohio,2016,M09,4.9,Reflects revised population controls and model reestimation.
Ohio,2016,M08,4.8,Reflects revised population controls and model reestimation.
Ohio,2016,M07,5.0,Reflects revised population controls and model reestimation.
Ohio,2016,M06,5.0,Reflects revised population controls and model reestimation.
Ohio,2016,M05,4.4,Reflects revised population controls and model reestimation.
Ohio,2016,M04,4.8,Reflects revised population controls and model reestimation.
Ohio,2016,M03,5.3,Reflects revised population controls and model reestimation.
Ohio,2016,M02,5.5,Reflects revised population controls and model reestimation.
Ohio,2016,M01,5.6,Reflects revised population controls and model reestimation.
Ohio,2015,M12,4.7,Reflects revised population controls and model reestimation.
Ohio,2015,M11,4.5,Reflects revised population controls and model reestimation.
Ohio,2015,M10,4.3,Reflects revised population controls and model reestimation.
Ohio,2015,M09,4.3,Reflects revised population controls and model reestimation.
Ohio,2015,M08,4.4,Reflects revised population controls and model reestimation.
Ohio,2015,M07,5.0,Reflects revised population controls and model reestimation.
Ohio,2015,M06,5.1,Reflects revised population controls and model reestimation.
Ohio,2015,M05,4.9,Reflects revised population controls and model reestimation.
Ohio,2015,M04,4.6,Reflects revised population controls and model reestimation.
Ohio,2015,M03,5.2,Reflects revised population controls and model reestimation.
Ohio,2015,M02,5.6,Reflects revised population controls and model reestimation.
Ohio,2015,M01,6.1,Reflects revised population controls and model reestimation.
Ohio,2014,M12,4.9,Reflects revised population controls and model reestimation.
Ohio,2014,M11,4.9,Reflects revised population controls and model reestimation.
Ohio,2014,M10,4.9,Reflects revised population controls and model reestimation.
Ohio,2014,M09,5.2,Reflects revised population controls and model reestimation.
Ohio,2014,M08,5.6,Reflects revised population controls and model reestimation.
Ohio,2014,M07,6.2,Reflects revised population controls and model reestimation.
Ohio,2014,M06,5.9,Reflects revised population controls and model reestimation.
Ohio,2014,M05,5.5,Reflects revised population controls and model reestimation.
Ohio,2014,M04,5.2,Reflects revised population controls and model reestimation.
Ohio,2014,M03,6.5,Reflects revised population controls and model reestimation.
Ohio,2014,M02,7.2,Reflects revised population controls and model reestimation.
Ohio,2014,M01,7.5,Reflects revised population controls and model reestimation.
Ohio,2013,M12,6.5,Reflects revised population controls and model reestimation.
Ohio,2013,M11,6.8,Reflects revised population controls and model reestimation.
Ohio,2013,M10,7.2,Reflects revised population controls and model reestimation.
Ohio,2013,M09,7.2,Reflects revised population controls and model reestimation.
Ohio,2013,M08,7.3,Reflects revised population controls and model reestimation.
Ohio,2013,M07,7.8,Reflects revised population controls and model reestimation.
Ohio,2013,M06,8.0,Reflects revised population controls and model reestimation.
Ohio,2013,M05,7.2,Reflects revised population controls and model reestimation.
Ohio,2013,M04,6.9,Reflects revised population controls and model reestimation.
Ohio,2013,M03,7.7,Reflects revised population controls and model reestimation.
Ohio,2013,M02,8.3,Reflects revised population controls and model reestimation.
Ohio,2013,M01,8.9,Reflects revised population controls and model reestimation.
Ohio,2012,M12,7.3,Reflects revised population controls and model reestimation.
Ohio,2012,M11,6.7,Reflects revised population controls and model reestimation.
Ohio,2012,M10,6.8,Reflects revised population controls and model reestimation.
Ohio,2012,M09,6.7,Reflects revised population controls and model reestimation.
Ohio,2012,M08,7.2,Reflects revised population controls and model reestimation.
Ohio,2012,M07,7.8,Reflects revised population controls and model reestimation.
Ohio,2012,M06,7.5,Reflects revised population controls and model reestimation.
Ohio,2012,M05,6.9,Reflects revised population controls and model reestimation.
Ohio,2012,M04,7.0,Reflects revised population controls and model reestimation.
Ohio,2012,M03,7.8,Reflects revised population controls and model reestimation.
Ohio,2012,M02,8.4,Reflects revised population controls and model reestimation.
Ohio,2012,M01,8.6,Reflects revised population controls and model reestimation.
Ohio,2011,M12,7.7,
Ohio,2011,M11,7.6,
Ohio,2011,M10,8.2,
Ohio,2011,M09,8.6,
Ohio,2011,M08,8.9,
Ohio,2011,M07,9.4,
Ohio,2011,M06,9.4,
Ohio,2011,M05,8.7,
Ohio,2011,M04,8.5,
Ohio,2011,M03,9.2,
Ohio,2011,M02,9.8,
Ohio,2011,M01,10.2,
Ohio,2010,M12,9.2,
Ohio,2010,M11,9.4,
Ohio,2010,M10,9.3,
Ohio,2010,M09,9.5,
Ohio,2010,M08,9.8,
Ohio,2010,M07,10.1,
Ohio,2010,M06,10.2,
Ohio,2010,M05,9.9,
Ohio,2010,M04,10.4,
Ohio,2010,M03,11.4,
Ohio,2010,M02,11.9,
Ohio,2010,M01,12.0,
Ohio,2009,M12,10.8,
Ohio,2009,M11,10.3,
Ohio,2009,M10,10.3,
Ohio,2009,M09,10.3,
Ohio,2009,M08,10.3,
Ohio,2009,M07,10.7,
Ohio,2009,M06,10.9,
Ohio,2009,M05,10.2,
Ohio,2009,M04,9.9,
Ohio,2009,M03,10.3,
Ohio,2009,M02,10.2,
Ohio,2009,M01,9.6,
Ohio,2008,M12,7.7,
Ohio,2008,M11,6.9,
Ohio,2008,M10,6.5,
Ohio,2008,M09,6.5,
Ohio,2008,M08,6.8,
Ohio,2008,M07,7.0,
Ohio,2008,M06,6.5,
Ohio,2008,M05,5.9,
Ohio,2008,M04,5.3,
Ohio,2008,M03,6.0,
Ohio,2008,M02,5.9,
Ohio,2008,M01,6.2,
Ohio,2007,M12,5.6,
Ohio,2007,M11,5.1,
Ohio,2007,M10,5.2,
Ohio,2007,M09,5.4,
Ohio,2007,M08,5.4,
Ohio,2007,M07,5.8,
Ohio,2007,M06,5.8,
Ohio,2007,M05,5.2,
Ohio,2007,M04,5.5,
Ohio,2007,M03,5.5,
Ohio,2007,M02,5.9,
Ohio,2007,M01,6.2,
Ohio,2006,M12,5.2,
Ohio,2006,M11,5.2,
Ohio,2006,M10,4.8,
Ohio,2006,M09,5.2,
Ohio,2006,M08,5.4,
Ohio,2006,M07,5.8,
Ohio,2006,M06,5.4,
Ohio,2006,M05,5.1,
Ohio,2006,M04,5.3,
Ohio,2006,M03,5.5,
Ohio,2006,M02,5.9,
Ohio,2006,M01,5.9,
Ohio,2005,M12,5.4,
Ohio,2005,M11,5.6,
Ohio,2005,M10,5.3,
Ohio,2005,M09,5.7,
Ohio,2005,M08,5.4,
Ohio,2005,M07,5.8,
Ohio,2005,M06,6.0,
Ohio,2005,M05,5.7,
Ohio,2005,M04,5.9,
Ohio,2005,M03,6.5,
Ohio,2005,M02,7.1,
Ohio,2005,M01,6.8,
Ohio,2004,M12,6.0,
Ohio,2004,M11,6.1,
Ohio,2004,M10,6.0,
Ohio,2004,M09,5.9,
Ohio,2004,M08,6.0,
Ohio,2004,M07,6.4,
Ohio,2004,M06,6.5,
Ohio,2004,M05,5.9,
Ohio,2004,M04,6.1,
Ohio,2004,M03,6.7,
Ohio,2004,M02,6.7,
Ohio,2004,M01,6.9,
Ohio,2003,M12,5.7,
Ohio,2003,M11,5.6,
Ohio,2003,M10,5.5,
Ohio,2003,M09,5.8,
Ohio,2003,M08,6.0,
Ohio,2003,M07,6.6,
Ohio,2003,M06,7.0,
Ohio,2003,M05,6.1,
Ohio,2003,M04,6.2,
Ohio,2003,M03,6.7,
Ohio,2003,M02,6.9,
Ohio,2003,M01,6.8,
Ohio,2002,M12,5.6,
Ohio,2002,M11,5.4,
Ohio,2002,M10,5.1,
Ohio,2002,M09,5.1,
Ohio,2002,M08,5.4,
Ohio,2002,M07,6.0,
Ohio,2002,M06,6.0,
Ohio,2002,M05,5.5,
Ohio,2002,M04,5.9,
Ohio,2002,M03,6.2,
Ohio,2002,M02,6.2,
Ohio,2002,M01,6.4,
Ohio,2001,M12,5.1,
Ohio,2001,M11,4.8,
Ohio,2001,M10,4.4,
Ohio,2001,M09,4.2,
Ohio,2001,M08,4.3,
Ohio,2001,M07,4.2,
Ohio,2001,M06,4.3,
Ohio,2001,M05,3.5,
Ohio,2001,M04,3.8,
Ohio,2001,M03,4.1,
Ohio,2001,M02,4.3,
Ohio,2001,M01,4.5,
Ohio,2000,M12,3.4,
Ohio,2000,M11,3.4,
Ohio,2000,M10,3.4,
Ohio,2000,M09,3.7,
Ohio,2000,M08,4.0,
Ohio,2000,M07,4.3,
Ohio,2000,M06,4.2,
Ohio,2000,M05,3.7,
Ohio,2000,M04,3.7,
Ohio,2000,M03,4.4,
Ohio,2000,M02,4.7,
Ohio,2000,M01,4.8,
