state,year,period,value,footnotes
Delaware,2016,M12,470318,Reflects revised population controls and model reestimation.
Delaware,2016,M11,470281,Reflects revised population controls and model reestimation.
Delaware,2016,M10,470204,Reflects revised population controls and model reestimation.
Delaware,2016,M09,467885,Reflects revised population controls and model reestimation.
Delaware,2016,M08,474958,Reflects revised population controls and model reestimation.
Delaware,2016,M07,478124,Reflects revised population controls and model reestimation.
Delaware,2016,M06,477351,Reflects revised population controls and model reestimation.
Delaware,2016,M05,471888,Reflects revised population controls and model reestimation.
Delaware,2016,M04,473738,Reflects revised population controls and model reestimation.
Delaware,2016,M03,474004,Reflects revised population controls and model reestimation.
Delaware,2016,M02,471486,Reflects revised population controls and model reestimation.
Delaware,2016,M01,471876,Reflects revised population controls and model reestimation.
Delaware,2015,M12,473091,Reflects revised population controls and model reestimation.
Delaware,2015,M11,472395,Reflects revised population controls and model reestimation.
Delaware,2015,M10,470898,Reflects revised population controls and model reestimation.
Delaware,2015,M09,466322,Reflects revised population controls and model reestimation.
Delaware,2015,M08,471811,Reflects revised population controls and model reestimation.
Delaware,2015,M07,473173,Reflects revised population controls and model reestimation.
Delaware,2015,M06,470865,Reflects revised population controls and model reestimation.
Delaware,2015,M05,464203,Reflects revised population controls and model reestimation.
Delaware,2015,M04,463750,Reflects revised population controls and model reestimation.
Delaware,2015,M03,462293,Reflects revised population controls and model reestimation.
Delaware,2015,M02,458884,Reflects revised population controls and model reestimation.
Delaware,2015,M01,459034,Reflects revised population controls and model reestimation.
Delaware,2014,M12,459540,Reflects revised population controls and model reestimation.
Delaware,2014,M11,458678,Reflects revised population controls and model reestimation.
Delaware,2014,M10,457266,Reflects revised population controls and model reestimation.
Delaware,2014,M09,452943,Reflects revised population controls and model reestimation.
Delaware,2014,M08,458664,Reflects revised population controls and model reestimation.
Delaware,2014,M07,460032,Reflects revised population controls and model reestimation.
Delaware,2014,M06,457547,Reflects revised population controls and model reestimation.
Delaware,2014,M05,449943,Reflects revised population controls and model reestimation.
Delaware,2014,M04,448782,Reflects revised population controls and model reestimation.
Delaware,2014,M03,447463,Reflects revised population controls and model reestimation.
Delaware,2014,M02,444032,Reflects revised population controls and model reestimation.
