state,year,period,value,footnotes
Missouri,2016,M12,2960244,Reflects revised population controls and model reestimation.
Missouri,2016,M11,2977005,Reflects revised population controls and model reestimation.
Missouri,2016,M10,2980762,Reflects revised population controls and model reestimation.
Missouri,2016,M09,2966693,Reflects revised population controls and model reestimation.
Missouri,2016,M08,2947466,Reflects revised population controls and model reestimation.
Missouri,2016,M07,2983307,Reflects revised population controls and model reestimation.
Missouri,2016,M06,2997602,Reflects revised population controls and model reestimation.
Missouri,2016,M05,2989098,Reflects revised population controls and model reestimation.
Missouri,2016,M04,2983545,Reflects revised population controls and model reestimation.
Missouri,2016,M03,2967695,Reflects revised population controls and model reestimation.
Missouri,2016,M02,2953231,Reflects revised population controls and model reestimation.
Missouri,2016,M01,2941776,Reflects revised population controls and model reestimation.
Missouri,2015,M12,2954650,Reflects revised population controls and model reestimation.
Missouri,2015,M11,2962438,Reflects revised population controls and model reestimation.
Missouri,2015,M10,2965310,Reflects revised population controls and model reestimation.
Missouri,2015,M09,2940930,Reflects revised population controls and model reestimation.
Missouri,2015,M08,2930608,Reflects revised population controls and model reestimation.
Missouri,2015,M07,2958202,Reflects revised population controls and model reestimation.
Missouri,2015,M06,2972304,Reflects revised population controls and model reestimation.
Missouri,2015,M05,2964443,Reflects revised population controls and model reestimation.
Missouri,2015,M04,2950758,Reflects revised population controls and model reestimation.
Missouri,2015,M03,2912125,Reflects revised population controls and model reestimation.
Missouri,2015,M02,2897617,Reflects revised population controls and model reestimation.
Missouri,2015,M01,2892463,Reflects revised population controls and model reestimation.
Missouri,2014,M12,2903488,Reflects revised population controls and model reestimation.
Missouri,2014,M11,2916570,Reflects revised population controls and model reestimation.
Missouri,2014,M10,2925615,Reflects revised population controls and model reestimation.
Missouri,2014,M09,2888338,Reflects revised population controls and model reestimation.
Missouri,2014,M08,2861746,Reflects revised population controls and model reestimation.
Missouri,2014,M07,2887289,Reflects revised population controls and model reestimation.
Missouri,2014,M06,2895772,Reflects revised population controls and model reestimation.
Missouri,2014,M05,2875675,Reflects revised population controls and model reestimation.
Missouri,2014,M04,2867157,Reflects revised population controls and model reestimation.
Missouri,2014,M03,2834522,Reflects revised population controls and model reestimation.
Missouri,2014,M02,2807853,Reflects revised population controls and model reestimation.
Missouri,2014,M01,2804389,Reflects revised population controls and model reestimation.
Missouri,2013,M12,2819343,Reflects revised population controls and model reestimation.
Missouri,2013,M11,2831034,Reflects revised population controls and model reestimation.
Missouri,2013,M10,2823821,Reflects revised population controls and model reestimation.
Missouri,2013,M09,2828413,Reflects revised population controls and model reestimation.
Missouri,2013,M08,2812953,Reflects revised population controls and model reestimation.
Missouri,2013,M07,2845559,Reflects revised population controls and model reestimation.
Missouri,2013,M06,2854191,Reflects revised population controls and model reestimation.
Missouri,2013,M05,2842345,Reflects revised population controls and model reestimation.
Missouri,2013,M04,2836086,Reflects revised population controls and model reestimation.
Missouri,2013,M03,2793901,Reflects revised population controls and model reestimation.
Missouri,2013,M02,2781130,Reflects revised population controls and model reestimation.
Missouri,2013,M01,2780371,Reflects revised population controls and model reestimation.
Missouri,2012,M12,2813392,Reflects revised population controls and model reestimation.
Missouri,2012,M11,2828955,Reflects revised population controls and model reestimation.
Missouri,2012,M10,2847046,Reflects revised population controls and model reestimation.
Missouri,2012,M09,2827305,Reflects revised population controls and model reestimation.
Missouri,2012,M08,2796463,Reflects revised population controls and model reestimation.
Missouri,2012,M07,2828331,Reflects revised population controls and model reestimation.
Missouri,2012,M06,2846143,Reflects revised population controls and model reestimation.
Missouri,2012,M05,2832280,Reflects revised population controls and model reestimation.
Missouri,2012,M04,2818753,Reflects revised population controls and model reestimation.
Missouri,2012,M03,2793309,Reflects revised population controls and model reestimation.
Missouri,2012,M02,2778562,Reflects revised population controls and model reestimation.
Missouri,2012,M01,2772758,Reflects revised population controls and model reestimation.
Missouri,2011,M12,2801320,
Missouri,2011,M11,2813123,
Missouri,2011,M10,2815754,
Missouri,2011,M09,2795990,
Missouri,2011,M08,2780074,
Missouri,2011,M07,2804070,
Missouri,2011,M06,2813392,
Missouri,2011,M05,2801432,
Missouri,2011,M04,2798054,
Missouri,2011,M03,2768362,
Missouri,2011,M02,2741939,
Missouri,2011,M01,2737172,
Missouri,2010,M12,2760478,
Missouri,2010,M11,2765949,
Missouri,2010,M10,2777418,
Missouri,2010,M09,2776208,
Missouri,2010,M08,2766646,
Missouri,2010,M07,2783885,
Missouri,2010,M06,2798783,
Missouri,2010,M05,2786134,
Missouri,2010,M04,2788248,
Missouri,2010,M03,2733945,
Missouri,2010,M02,2713836,
Missouri,2010,M01,2710887,
Missouri,2009,M12,2724608,
Missouri,2009,M11,2752181,
Missouri,2009,M10,2757037,
Missouri,2009,M09,2753264,
Missouri,2009,M08,2761096,
Missouri,2009,M07,2797718,
Missouri,2009,M06,2809948,
Missouri,2009,M05,2786405,
Missouri,2009,M04,2796257,
Missouri,2009,M03,2754267,
Missouri,2009,M02,2748984,
Missouri,2009,M01,2758772,
