state,year,period,value,footnotes
Utah,2016,M12,1527220,Reflects revised population controls and model reestimation.
Utah,2016,M11,1526692,Reflects revised population controls and model reestimation.
Utah,2016,M10,1527871,Reflects revised population controls and model reestimation.
Utah,2016,M09,1521521,Reflects revised population controls and model reestimation.
Utah,2016,M08,1521514,Reflects revised population controls and model reestimation.
Utah,2016,M07,1524943,Reflects revised population controls and model reestimation.
Utah,2016,M06,1519515,Reflects revised population controls and model reestimation.
Utah,2016,M05,1504567,Reflects revised population controls and model reestimation.
Utah,2016,M04,1495938,Reflects revised population controls and model reestimation.
Utah,2016,M03,1494937,Reflects revised population controls and model reestimation.
Utah,2016,M02,1489692,Reflects revised population controls and model reestimation.
Utah,2016,M01,1483167,Reflects revised population controls and model reestimation.
Utah,2015,M12,1481231,Reflects revised population controls and model reestimation.
Utah,2015,M11,1479558,Reflects revised population controls and model reestimation.
Utah,2015,M10,1479043,Reflects revised population controls and model reestimation.
Utah,2015,M09,1470503,Reflects revised population controls and model reestimation.
Utah,2015,M08,1474284,Reflects revised population controls and model reestimation.
Utah,2015,M07,1477500,Reflects revised population controls and model reestimation.
Utah,2015,M06,1473404,Reflects revised population controls and model reestimation.
Utah,2015,M05,1461456,Reflects revised population controls and model reestimation.
Utah,2015,M04,1448888,Reflects revised population controls and model reestimation.
Utah,2015,M03,1450536,Reflects revised population controls and model reestimation.
Utah,2015,M02,1448197,Reflects revised population controls and model reestimation.
Utah,2015,M01,1444641,Reflects revised population controls and model reestimation.
Utah,2014,M12,1440053,Reflects revised population controls and model reestimation.
Utah,2014,M11,1442004,Reflects revised population controls and model reestimation.
Utah,2014,M10,1442537,Reflects revised population controls and model reestimation.
Utah,2014,M09,1434147,Reflects revised population controls and model reestimation.
Utah,2014,M08,1436176,Reflects revised population controls and model reestimation.
Utah,2014,M07,1438471,Reflects revised population controls and model reestimation.
Utah,2014,M06,1436018,Reflects revised population controls and model reestimation.
Utah,2014,M05,1423831,Reflects revised population controls and model reestimation.
Utah,2014,M04,1414315,Reflects revised population controls and model reestimation.
Utah,2014,M03,1420135,Reflects revised population controls and model reestimation.
Utah,2014,M02,1419545,Reflects revised population controls and model reestimation.
Utah,2014,M01,1418802,Reflects revised population controls and model reestimation.
Utah,2013,M12,1419007,Reflects revised population controls and model reestimation.
Utah,2013,M11,1421235,Reflects revised population controls and model reestimation.
Utah,2013,M10,1418546,Reflects revised population controls and model reestimation.
Utah,2013,M09,1414729,Reflects revised population controls and model reestimation.
Utah,2013,M08,1417383,Reflects revised population controls and model reestimation.
Utah,2013,M07,1422826,Reflects revised population controls and model reestimation.
Utah,2013,M06,1417514,Reflects revised population controls and model reestimation.
Utah,2013,M05,1403194,Reflects revised population controls and model reestimation.
Utah,2013,M04,1394533,Reflects revised population controls and model reestimation.
Utah,2013,M03,1392344,Reflects revised population controls and model reestimation.
Utah,2013,M02,1390904,Reflects revised population controls and model reestimation.
Utah,2013,M01,1389176,Reflects revised population controls and model reestimation.
Utah,2012,M12,1386784,Reflects revised population controls and model reestimation.
Utah,2012,M11,1386151,Reflects revised population controls and model reestimation.
Utah,2012,M10,1386511,Reflects revised population controls and model reestimation.
Utah,2012,M09,1377778,Reflects revised population controls and model reestimation.
Utah,2012,M08,1379250,Reflects revised population controls and model reestimation.
Utah,2012,M07,1381453,Reflects revised population controls and model reestimation.
Utah,2012,M06,1382362,Reflects revised population controls and model reestimation.
Utah,2012,M05,1369408,Reflects revised population controls and model reestimation.
Utah,2012,M04,1359212,Reflects revised population controls and model reestimation.
Utah,2012,M03,1358633,Reflects revised population controls and model reestimation.
Utah,2012,M02,1356216,Reflects revised population controls and model reestimation.
Utah,2012,M01,1351887,Reflects revised population controls and model reestimation.
Utah,2011,M12,1351729,
Utah,2011,M11,1352548,
Utah,2011,M10,1353118,
Utah,2011,M09,1350945,
Utah,2011,M08,1356401,
Utah,2011,M07,1357179,
Utah,2011,M06,1353502,
Utah,2011,M05,1345682,
Utah,2011,M04,1342349,
Utah,2011,M03,1346317,
Utah,2011,M02,1347431,
Utah,2011,M01,1348130,
Utah,2010,M12,1350062,
Utah,2010,M11,1354030,
Utah,2010,M10,1357414,
Utah,2010,M09,1356031,
Utah,2010,M08,1364982,
Utah,2010,M07,1367062,
Utah,2010,M06,1366010,
Utah,2010,M05,1356287,
Utah,2010,M04,1351858,
Utah,2010,M03,1350123,
Utah,2010,M02,1347242,
Utah,2010,M01,1352064,
Utah,2009,M12,1351014,
Utah,2009,M11,1356935,
Utah,2009,M10,1359037,
Utah,2009,M09,1358491,
Utah,2009,M08,1369268,
Utah,2009,M07,1374722,
Utah,2009,M06,1375649,
Utah,2009,M05,1365404,
Utah,2009,M04,1362356,
Utah,2009,M03,1368854,
Utah,2009,M02,1373785,
Utah,2009,M01,1374693,
Utah,2008,M12,1376289,
Utah,2008,M11,1367213,
Utah,2008,M10,1373079,
Utah,2008,M09,1372063,
Utah,2008,M08,1380541,
Utah,2008,M07,1382958,
Utah,2008,M06,1379005,
Utah,2008,M05,1366853,
Utah,2008,M04,1361620,
Utah,2008,M03,1363666,
Utah,2008,M02,1364291,
Utah,2008,M01,1366840,
Utah,2007,M12,1369729,
Utah,2007,M11,1373350,
Utah,2007,M10,1371705,
Utah,2007,M09,1366778,
Utah,2007,M08,1371201,
Utah,2007,M07,1373167,
Utah,2007,M06,1369073,
Utah,2007,M05,1352379,
Utah,2007,M04,1342036,
Utah,2007,M03,1342252,
Utah,2007,M02,1338974,
Utah,2007,M01,1338908,
Utah,2006,M12,1338499,
Utah,2006,M11,1336865,
Utah,2006,M10,1333876,
Utah,2006,M09,1327578,
Utah,2006,M08,1333618,
Utah,2006,M07,1332284,
Utah,2006,M06,1326521,
Utah,2006,M05,1309733,
Utah,2006,M04,1299163,
Utah,2006,M03,1297239,
Utah,2006,M02,1294797,
Utah,2006,M01,1291220,
Utah,2005,M12,1291647,
Utah,2005,M11,1292597,
Utah,2005,M10,1293114,
Utah,2005,M09,1287122,
Utah,2005,M08,1287323,
Utah,2005,M07,1284407,
Utah,2005,M06,1277088,
Utah,2005,M05,1263001,
Utah,2005,M04,1252645,
Utah,2005,M03,1249038,
Utah,2005,M02,1247373,
Utah,2005,M01,1243984,
Utah,2004,M12,1244296,
Utah,2004,M11,1246434,
Utah,2004,M10,1244558,
Utah,2004,M09,1237164,
Utah,2004,M08,1242526,
Utah,2004,M07,1243494,
Utah,2004,M06,1239021,
Utah,2004,M05,1223904,
Utah,2004,M04,1214521,
Utah,2004,M03,1214002,
Utah,2004,M02,1212126,
Utah,2004,M01,1211870,
Utah,2003,M12,1210608,
Utah,2003,M11,1212678,
Utah,2003,M10,1211156,
Utah,2003,M09,1204244,
Utah,2003,M08,1209415,
Utah,2003,M07,1208606,
Utah,2003,M06,1206862,
Utah,2003,M05,1192007,
Utah,2003,M04,1185510,
Utah,2003,M03,1185555,
Utah,2003,M02,1187386,
Utah,2003,M01,1188802,
Utah,2002,M12,1188155,
Utah,2002,M11,1190905,
Utah,2002,M10,1193658,
Utah,2002,M09,1189681,
Utah,2002,M08,1193609,
Utah,2002,M07,1194411,
Utah,2002,M06,1189932,
Utah,2002,M05,1178913,
Utah,2002,M04,1172502,
Utah,2002,M03,1171955,
Utah,2002,M02,1180255,
Utah,2002,M01,1173034,
Utah,2001,M12,1169414,
Utah,2001,M11,1169906,
Utah,2001,M10,1170962,
Utah,2001,M09,1167952,
Utah,2001,M08,1172632,
Utah,2001,M07,1174451,
Utah,2001,M06,1171045,
Utah,2001,M05,1158632,
Utah,2001,M04,1151573,
Utah,2001,M03,1155281,
Utah,2001,M02,1152995,
Utah,2001,M01,1154085,
Utah,2000,M12,1154797,
Utah,2000,M11,1155062,
Utah,2000,M10,1154451,
Utah,2000,M09,1147983,
Utah,2000,M08,1153052,
Utah,2000,M07,1152191,
Utah,2000,M06,1150896,
Utah,2000,M05,1135012,
Utah,2000,M04,1127999,
Utah,2000,M03,1125742,
Utah,2000,M02,1124619,
Utah,2000,M01,1122721,
