state,year,period,value,footnotes
South Carolina,2016,M12,95277,Reflects revised population controls and model reestimation.
South Carolina,2016,M11,91905,Reflects revised population controls and model reestimation.
South Carolina,2016,M10,102913,Reflects revised population controls and model reestimation.
South Carolina,2016,M09,108274,Reflects revised population controls and model reestimation.
South Carolina,2016,M08,117129,Reflects revised population controls and model reestimation.
South Carolina,2016,M07,115692,Reflects revised population controls and model reestimation.
South Carolina,2016,M06,122678,Reflects revised population controls and model reestimation.
South Carolina,2016,M05,103766,Reflects revised population controls and model reestimation.
South Carolina,2016,M04,107506,Reflects revised population controls and model reestimation.
South Carolina,2016,M03,117246,Reflects revised population controls and model reestimation.
South Carolina,2016,M02,124139,Reflects revised population controls and model reestimation.
South Carolina,2016,M01,126284,Reflects revised population controls and model reestimation.
South Carolina,2015,M12,122137,Reflects revised population controls and model reestimation.
South Carolina,2015,M11,120874,Reflects revised population controls and model reestimation.
South Carolina,2015,M10,128545,Reflects revised population controls and model reestimation.
South Carolina,2015,M09,127761,Reflects revised population controls and model reestimation.
South Carolina,2015,M08,136531,Reflects revised population controls and model reestimation.
South Carolina,2015,M07,139916,Reflects revised population controls and model reestimation.
South Carolina,2015,M06,146163,Reflects revised population controls and model reestimation.
South Carolina,2015,M05,138364,Reflects revised population controls and model reestimation.
South Carolina,2015,M04,130454,Reflects revised population controls and model reestimation.
South Carolina,2015,M03,135347,Reflects revised population controls and model reestimation.
South Carolina,2015,M02,148656,Reflects revised population controls and model reestimation.
South Carolina,2015,M01,154201,Reflects revised population controls and model reestimation.
South Carolina,2014,M12,143637,Reflects revised population controls and model reestimation.
South Carolina,2014,M11,146273,Reflects revised population controls and model reestimation.
South Carolina,2014,M10,148398,Reflects revised population controls and model reestimation.
South Carolina,2014,M09,153146,Reflects revised population controls and model reestimation.
South Carolina,2014,M08,164576,Reflects revised population controls and model reestimation.
South Carolina,2014,M07,157499,Reflects revised population controls and model reestimation.
South Carolina,2014,M06,148265,Reflects revised population controls and model reestimation.
South Carolina,2014,M05,130643,Reflects revised population controls and model reestimation.
South Carolina,2014,M04,115851,Reflects revised population controls and model reestimation.
South Carolina,2014,M03,130605,Reflects revised population controls and model reestimation.
South Carolina,2014,M02,138854,Reflects revised population controls and model reestimation.
South Carolina,2014,M01,140067,Reflects revised population controls and model reestimation.
South Carolina,2013,M12,134045,Reflects revised population controls and model reestimation.
South Carolina,2013,M11,142009,Reflects revised population controls and model reestimation.
South Carolina,2013,M10,155536,Reflects revised population controls and model reestimation.
South Carolina,2013,M09,159590,Reflects revised population controls and model reestimation.
South Carolina,2013,M08,172097,Reflects revised population controls and model reestimation.
South Carolina,2013,M07,176263,Reflects revised population controls and model reestimation.
South Carolina,2013,M06,186534,Reflects revised population controls and model reestimation.
South Carolina,2013,M05,169316,Reflects revised population controls and model reestimation.
South Carolina,2013,M04,161516,Reflects revised population controls and model reestimation.
South Carolina,2013,M03,168781,Reflects revised population controls and model reestimation.
South Carolina,2013,M02,186963,Reflects revised population controls and model reestimation.
South Carolina,2013,M01,199113,Reflects revised population controls and model reestimation.
South Carolina,2012,M12,186783,Reflects revised population controls and model reestimation.
South Carolina,2012,M11,177723,Reflects revised population controls and model reestimation.
South Carolina,2012,M10,188394,Reflects revised population controls and model reestimation.
South Carolina,2012,M09,187423,Reflects revised population controls and model reestimation.
South Carolina,2012,M08,208935,Reflects revised population controls and model reestimation.
South Carolina,2012,M07,216722,Reflects revised population controls and model reestimation.
South Carolina,2012,M06,217906,Reflects revised population controls and model reestimation.
South Carolina,2012,M05,201232,Reflects revised population controls and model reestimation.
South Carolina,2012,M04,192077,Reflects revised population controls and model reestimation.
South Carolina,2012,M03,202027,Reflects revised population controls and model reestimation.
South Carolina,2012,M02,216670,Reflects revised population controls and model reestimation.
South Carolina,2012,M01,219223,Reflects revised population controls and model reestimation.
South Carolina,2011,M12,213746,
South Carolina,2011,M11,215727,
South Carolina,2011,M10,225551,
South Carolina,2011,M09,232937,
South Carolina,2011,M08,241219,
South Carolina,2011,M07,238045,
South Carolina,2011,M06,245228,
South Carolina,2011,M05,225692,
South Carolina,2011,M04,217904,
South Carolina,2011,M03,221237,
South Carolina,2011,M02,235186,
South Carolina,2011,M01,243009,
South Carolina,2010,M12,231105,
South Carolina,2010,M11,233542,
South Carolina,2010,M10,225348,
South Carolina,2010,M09,231578,
South Carolina,2010,M08,244749,
South Carolina,2010,M07,240106,
South Carolina,2010,M06,244208,
South Carolina,2010,M05,232874,
South Carolina,2010,M04,234476,
South Carolina,2010,M03,246337,
South Carolina,2010,M02,258345,
South Carolina,2010,M01,264804,
South Carolina,2009,M12,244006,
South Carolina,2009,M11,239246,
