state,year,period,value,footnotes
Georgia,2016,M12,4723100,Reflects revised population controls and model reestimation.
Georgia,2016,M11,4723599,Reflects revised population controls and model reestimation.
Georgia,2016,M10,4695974,Reflects revised population controls and model reestimation.
Georgia,2016,M09,4682394,Reflects revised population controls and model reestimation.
Georgia,2016,M08,4646987,Reflects revised population controls and model reestimation.
Georgia,2016,M07,4665723,Reflects revised population controls and model reestimation.
Georgia,2016,M06,4640961,Reflects revised population controls and model reestimation.
Georgia,2016,M05,4656162,Reflects revised population controls and model reestimation.
Georgia,2016,M04,4634923,Reflects revised population controls and model reestimation.
Georgia,2016,M03,4633313,Reflects revised population controls and model reestimation.
Georgia,2016,M02,4602750,Reflects revised population controls and model reestimation.
Georgia,2016,M01,4569175,Reflects revised population controls and model reestimation.
Georgia,2015,M12,4569787,Reflects revised population controls and model reestimation.
Georgia,2015,M11,4547094,Reflects revised population controls and model reestimation.
Georgia,2015,M10,4521095,Reflects revised population controls and model reestimation.
Georgia,2015,M09,4499577,Reflects revised population controls and model reestimation.
Georgia,2015,M08,4481581,Reflects revised population controls and model reestimation.
Georgia,2015,M07,4499342,Reflects revised population controls and model reestimation.
Georgia,2015,M06,4491609,Reflects revised population controls and model reestimation.
Georgia,2015,M05,4516710,Reflects revised population controls and model reestimation.
Georgia,2015,M04,4495293,Reflects revised population controls and model reestimation.
Georgia,2015,M03,4484434,Reflects revised population controls and model reestimation.
Georgia,2015,M02,4464491,Reflects revised population controls and model reestimation.
Georgia,2015,M01,4453235,Reflects revised population controls and model reestimation.
Georgia,2014,M12,4465588,Reflects revised population controls and model reestimation.
Georgia,2014,M11,4463629,Reflects revised population controls and model reestimation.
Georgia,2014,M10,4450888,Reflects revised population controls and model reestimation.
Georgia,2014,M09,4425778,Reflects revised population controls and model reestimation.
Georgia,2014,M08,4393662,Reflects revised population controls and model reestimation.
Georgia,2014,M07,4418017,Reflects revised population controls and model reestimation.
Georgia,2014,M06,4407399,Reflects revised population controls and model reestimation.
Georgia,2014,M05,4423871,Reflects revised population controls and model reestimation.
Georgia,2014,M04,4411283,Reflects revised population controls and model reestimation.
Georgia,2014,M03,4411345,Reflects revised population controls and model reestimation.
Georgia,2014,M02,4379531,Reflects revised population controls and model reestimation.
Georgia,2014,M01,4370662,Reflects revised population controls and model reestimation.
Georgia,2013,M12,4382734,Reflects revised population controls and model reestimation.
Georgia,2013,M11,4382536,Reflects revised population controls and model reestimation.
Georgia,2013,M10,4346309,Reflects revised population controls and model reestimation.
Georgia,2013,M09,4372833,Reflects revised population controls and model reestimation.
Georgia,2013,M08,4349499,Reflects revised population controls and model reestimation.
Georgia,2013,M07,4375090,Reflects revised population controls and model reestimation.
Georgia,2013,M06,4364012,Reflects revised population controls and model reestimation.
Georgia,2013,M05,4392139,Reflects revised population controls and model reestimation.
Georgia,2013,M04,4377165,Reflects revised population controls and model reestimation.
Georgia,2013,M03,4364306,Reflects revised population controls and model reestimation.
Georgia,2013,M02,4352593,Reflects revised population controls and model reestimation.
Georgia,2013,M01,4346545,Reflects revised population controls and model reestimation.
Georgia,2012,M12,4379223,Reflects revised population controls and model reestimation.
Georgia,2012,M11,4385530,Reflects revised population controls and model reestimation.
Georgia,2012,M10,4383802,Reflects revised population controls and model reestimation.
Georgia,2012,M09,4369647,Reflects revised population controls and model reestimation.
Georgia,2012,M08,4322334,Reflects revised population controls and model reestimation.
Georgia,2012,M07,4346347,Reflects revised population controls and model reestimation.
Georgia,2012,M06,4344686,Reflects revised population controls and model reestimation.
Georgia,2012,M05,4364584,Reflects revised population controls and model reestimation.
Georgia,2012,M04,4341042,Reflects revised population controls and model reestimation.
Georgia,2012,M03,4337097,Reflects revised population controls and model reestimation.
Georgia,2012,M02,4309632,Reflects revised population controls and model reestimation.
Georgia,2012,M01,4293077,Reflects revised population controls and model reestimation.
Georgia,2011,M12,4329057,
Georgia,2011,M11,4327137,
Georgia,2011,M10,4299517,
Georgia,2011,M09,4288364,
Georgia,2011,M08,4257526,
Georgia,2011,M07,4256602,
Georgia,2011,M06,4239060,
Georgia,2011,M05,4269047,
Georgia,2011,M04,4254019,
Georgia,2011,M03,4242476,
Georgia,2011,M02,4207461,
Georgia,2011,M01,4189390,
Georgia,2010,M12,4221004,
Georgia,2010,M11,4212921,
Georgia,2010,M10,4200359,
Georgia,2010,M09,4206387,
Georgia,2010,M08,4187570,
Georgia,2010,M07,4193233,
Georgia,2010,M06,4175163,
Georgia,2010,M05,4203148,
Georgia,2010,M04,4202956,
Georgia,2010,M03,4175423,
Georgia,2010,M02,4178229,
Georgia,2010,M01,4268234,
Georgia,2009,M12,4285416,
Georgia,2009,M11,4305024,
Georgia,2009,M10,4279680,
Georgia,2009,M09,4285660,
Georgia,2009,M08,4292956,
Georgia,2009,M07,4322886,
Georgia,2009,M06,4305683,
Georgia,2009,M05,4327016,
Georgia,2009,M04,4336583,
Georgia,2009,M03,4329089,
Georgia,2009,M02,4331050,
Georgia,2009,M01,4341199,
Georgia,2008,M12,4398925,
Georgia,2008,M11,4421511,
Georgia,2008,M10,4437557,
Georgia,2008,M09,4482288,
Georgia,2008,M08,4638156,
Georgia,2008,M07,4664282,
Georgia,2008,M06,4646443,
Georgia,2008,M05,4656642,
Georgia,2008,M04,4657465,
Georgia,2008,M03,4646801,
Georgia,2008,M02,4623661,
Georgia,2008,M01,4626387,
Georgia,2007,M12,4647716,
Georgia,2007,M11,4653057,
Georgia,2007,M10,4615923,
Georgia,2007,M09,4610367,
Georgia,2007,M08,4583238,
Georgia,2007,M07,4606477,
Georgia,2007,M06,4583986,
Georgia,2007,M05,4586650,
Georgia,2007,M04,4573024,
Georgia,2007,M03,4591568,
Georgia,2007,M02,4563519,
Georgia,2007,M01,4556149,
Georgia,2006,M12,4596835,
Georgia,2006,M11,4575077,
Georgia,2006,M10,4548039,
Georgia,2006,M09,4513277,
Georgia,2006,M08,4494135,
Georgia,2006,M07,4495186,
Georgia,2006,M06,4471488,
Georgia,2006,M05,4466796,
Georgia,2006,M04,4448910,
Georgia,2006,M03,4444553,
Georgia,2006,M02,4415626,
Georgia,2006,M01,4399619,
Georgia,2005,M12,4425505,
Georgia,2005,M11,4406909,
Georgia,2005,M10,4390762,
Georgia,2005,M09,4367627,
Georgia,2005,M08,4361740,
Georgia,2005,M07,4360780,
Georgia,2005,M06,4325234,
Georgia,2005,M05,4332422,
Georgia,2005,M04,4313528,
Georgia,2005,M03,4288674,
Georgia,2005,M02,4265319,
Georgia,2005,M01,4256180,
Georgia,2004,M12,4289380,
Georgia,2004,M11,4284070,
Georgia,2004,M10,4259348,
Georgia,2004,M09,4237418,
Georgia,2004,M08,4236717,
Georgia,2004,M07,4251023,
Georgia,2004,M06,4217777,
Georgia,2004,M05,4225847,
Georgia,2004,M04,4221568,
Georgia,2004,M03,4222647,
Georgia,2004,M02,4215858,
Georgia,2004,M01,4207124,
Georgia,2003,M12,4237296,
Georgia,2003,M11,4226941,
Georgia,2003,M10,4201799,
Georgia,2003,M09,4182666,
Georgia,2003,M08,4172102,
Georgia,2003,M07,4179547,
Georgia,2003,M06,4168701,
Georgia,2003,M05,4175946,
Georgia,2003,M04,4174827,
Georgia,2003,M03,4172079,
Georgia,2003,M02,4157297,
Georgia,2003,M01,4141049,
Georgia,2002,M12,4166673,
Georgia,2002,M11,4147550,
Georgia,2002,M10,4149098,
Georgia,2002,M09,4144082,
Georgia,2002,M08,4113941,
Georgia,2002,M07,4113324,
Georgia,2002,M06,4096479,
Georgia,2002,M05,4106830,
Georgia,2002,M04,4085303,
Georgia,2002,M03,4087383,
Georgia,2002,M02,4079917,
Georgia,2002,M01,4039903,
Georgia,2001,M12,4095183,
Georgia,2001,M11,4081354,
Georgia,2001,M10,4074644,
Georgia,2001,M09,4073065,
Georgia,2001,M08,4049622,
Georgia,2001,M07,4093484,
Georgia,2001,M06,4076926,
Georgia,2001,M05,4095154,
Georgia,2001,M04,4096119,
Georgia,2001,M03,4123020,
Georgia,2001,M02,4110397,
Georgia,2001,M01,4105735,
Georgia,2000,M12,4134257,
Georgia,2000,M11,4100789,
Georgia,2000,M10,4081125,
Georgia,2000,M09,4063109,
Georgia,2000,M08,4060662,
Georgia,2000,M07,4075181,
Georgia,2000,M06,4067365,
Georgia,2000,M05,4063847,
Georgia,2000,M04,4071886,
Georgia,2000,M03,4064879,
Georgia,2000,M02,4046970,
Georgia,2000,M01,4028619,
