state,year,period,value,footnotes
New Jersey,2016,M12,187578,Reflects revised population controls and model reestimation.
New Jersey,2016,M11,186915,Reflects revised population controls and model reestimation.
New Jersey,2016,M10,205724,Reflects revised population controls and model reestimation.
New Jersey,2016,M09,220483,Reflects revised population controls and model reestimation.
New Jersey,2016,M08,229302,Reflects revised population controls and model reestimation.
New Jersey,2016,M07,252733,Reflects revised population controls and model reestimation.
New Jersey,2016,M06,236030,Reflects revised population controls and model reestimation.
New Jersey,2016,M05,224726,Reflects revised population controls and model reestimation.
New Jersey,2016,M04,228488,Reflects revised population controls and model reestimation.
New Jersey,2016,M03,245237,Reflects revised population controls and model reestimation.
New Jersey,2016,M02,241938,Reflects revised population controls and model reestimation.
New Jersey,2016,M01,232767,Reflects revised population controls and model reestimation.
New Jersey,2015,M12,204122,Reflects revised population controls and model reestimation.
New Jersey,2015,M11,212993,Reflects revised population controls and model reestimation.
New Jersey,2015,M10,221189,Reflects revised population controls and model reestimation.
New Jersey,2015,M09,233932,Reflects revised population controls and model reestimation.
New Jersey,2015,M08,249063,Reflects revised population controls and model reestimation.
New Jersey,2015,M07,286734,Reflects revised population controls and model reestimation.
New Jersey,2015,M06,273636,Reflects revised population controls and model reestimation.
New Jersey,2015,M05,275748,Reflects revised population controls and model reestimation.
New Jersey,2015,M04,267843,Reflects revised population controls and model reestimation.
New Jersey,2015,M03,297600,Reflects revised population controls and model reestimation.
New Jersey,2015,M02,312365,Reflects revised population controls and model reestimation.
New Jersey,2015,M01,316476,Reflects revised population controls and model reestimation.
New Jersey,2014,M12,273954,Reflects revised population controls and model reestimation.
New Jersey,2014,M11,281281,Reflects revised population controls and model reestimation.
New Jersey,2014,M10,284236,Reflects revised population controls and model reestimation.
New Jersey,2014,M09,292735,Reflects revised population controls and model reestimation.
New Jersey,2014,M08,307552,Reflects revised population controls and model reestimation.
New Jersey,2014,M07,328770,Reflects revised population controls and model reestimation.
New Jersey,2014,M06,297984,Reflects revised population controls and model reestimation.
New Jersey,2014,M05,293501,Reflects revised population controls and model reestimation.
New Jersey,2014,M04,281567,Reflects revised population controls and model reestimation.
New Jersey,2014,M03,331879,Reflects revised population controls and model reestimation.
New Jersey,2014,M02,343160,Reflects revised population controls and model reestimation.
New Jersey,2014,M01,334738,Reflects revised population controls and model reestimation.
New Jersey,2013,M12,299424,Reflects revised population controls and model reestimation.
New Jersey,2013,M11,309187,Reflects revised population controls and model reestimation.
New Jersey,2013,M10,338028,Reflects revised population controls and model reestimation.
New Jersey,2013,M09,349806,Reflects revised population controls and model reestimation.
