state,year,period,value,footnotes
Washington,2016,M12,193221,Reflects revised population controls and model reestimation.
Washington,2016,M11,188004,Reflects revised population controls and model reestimation.
Washington,2016,M10,184152,Reflects revised population controls and model reestimation.
Washington,2016,M09,185885,Reflects revised population controls and model reestimation.
Washington,2016,M08,193627,Reflects revised population controls and model reestimation.
Washington,2016,M07,198745,Reflects revised population controls and model reestimation.
Washington,2016,M06,196498,Reflects revised population controls and model reestimation.
Washington,2016,M05,190151,Reflects revised population controls and model reestimation.
Washington,2016,M04,190589,Reflects revised population controls and model reestimation.
Washington,2016,M03,210755,Reflects revised population controls and model reestimation.
Washington,2016,M02,221553,Reflects revised population controls and model reestimation.
Washington,2016,M01,222835,Reflects revised population controls and model reestimation.
Washington,2015,M12,208260,Reflects revised population controls and model reestimation.
Washington,2015,M11,200738,Reflects revised population controls and model reestimation.
Washington,2015,M10,188424,Reflects revised population controls and model reestimation.
Washington,2015,M09,183876,Reflects revised population controls and model reestimation.
Washington,2015,M08,190266,Reflects revised population controls and model reestimation.
Washington,2015,M07,197936,Reflects revised population controls and model reestimation.
Washington,2015,M06,192713,Reflects revised population controls and model reestimation.
Washington,2015,M05,196518,Reflects revised population controls and model reestimation.
Washington,2015,M04,183330,Reflects revised population controls and model reestimation.
Washington,2015,M03,204282,Reflects revised population controls and model reestimation.
Washington,2015,M02,223488,Reflects revised population controls and model reestimation.
Washington,2015,M01,228208,Reflects revised population controls and model reestimation.
Washington,2014,M12,208175,Reflects revised population controls and model reestimation.
Washington,2014,M11,209473,Reflects revised population controls and model reestimation.
Washington,2014,M10,197952,Reflects revised population controls and model reestimation.
Washington,2014,M09,197212,Reflects revised population controls and model reestimation.
Washington,2014,M08,209485,Reflects revised population controls and model reestimation.
Washington,2014,M07,211625,Reflects revised population controls and model reestimation.
Washington,2014,M06,202586,Reflects revised population controls and model reestimation.
Washington,2014,M05,207359,Reflects revised population controls and model reestimation.
Washington,2014,M04,197205,Reflects revised population controls and model reestimation.
Washington,2014,M03,232799,Reflects revised population controls and model reestimation.
Washington,2014,M02,248773,Reflects revised population controls and model reestimation.
Washington,2014,M01,242220,Reflects revised population controls and model reestimation.
Washington,2013,M12,228942,Reflects revised population controls and model reestimation.
Washington,2013,M11,227403,Reflects revised population controls and model reestimation.
Washington,2013,M10,226774,Reflects revised population controls and model reestimation.
Washington,2013,M09,221450,Reflects revised population controls and model reestimation.
Washington,2013,M08,234970,Reflects revised population controls and model reestimation.
Washington,2013,M07,240878,Reflects revised population controls and model reestimation.
Washington,2013,M06,244731,Reflects revised population controls and model reestimation.
Washington,2013,M05,239574,Reflects revised population controls and model reestimation.
Washington,2013,M04,234146,Reflects revised population controls and model reestimation.
Washington,2013,M03,256960,Reflects revised population controls and model reestimation.
Washington,2013,M02,278823,Reflects revised population controls and model reestimation.
Washington,2013,M01,288920,Reflects revised population controls and model reestimation.
Washington,2012,M12,260890,Reflects revised population controls and model reestimation.
Washington,2012,M11,250641,Reflects revised population controls and model reestimation.
Washington,2012,M10,249724,Reflects revised population controls and model reestimation.
Washington,2012,M09,253201,Reflects revised population controls and model reestimation.
Washington,2012,M08,274097,Reflects revised population controls and model reestimation.
Washington,2012,M07,286256,Reflects revised population controls and model reestimation.
Washington,2012,M06,286918,Reflects revised population controls and model reestimation.
Washington,2012,M05,285613,Reflects revised population controls and model reestimation.
Washington,2012,M04,277566,Reflects revised population controls and model reestimation.
Washington,2012,M03,308147,Reflects revised population controls and model reestimation.
Washington,2012,M02,326271,Reflects revised population controls and model reestimation.
Washington,2012,M01,324812,Reflects revised population controls and model reestimation.
Washington,2011,M12,304655,
Washington,2011,M11,299338,
Washington,2011,M10,297041,
Washington,2011,M09,301575,
Washington,2011,M08,311660,
Washington,2011,M07,316851,
Washington,2011,M06,325617,
Washington,2011,M05,320667,
Washington,2011,M04,314715,
Washington,2011,M03,341199,
Washington,2011,M02,359310,
Washington,2011,M01,362227,
Washington,2010,M12,333850,
Washington,2010,M11,339836,
Washington,2010,M10,319498,
Washington,2010,M09,325488,
Washington,2010,M08,337371,
Washington,2010,M07,335591,
Washington,2010,M06,344103,
Washington,2010,M05,346766,
Washington,2010,M04,351319,
Washington,2010,M03,383888,
Washington,2010,M02,395374,
Washington,2010,M01,396296,
Washington,2009,M12,369429,
Washington,2009,M11,350402,
Washington,2009,M10,345138,
Washington,2009,M09,346390,
Washington,2009,M08,342877,
Washington,2009,M07,330670,
Washington,2009,M06,326529,
Washington,2009,M05,308090,
Washington,2009,M04,289839,
Washington,2009,M03,299096,
Washington,2009,M02,298821,
Washington,2009,M01,275336,
Washington,2008,M12,231396,
Washington,2008,M11,209061,
Washington,2008,M10,189309,
Washington,2008,M09,178117,
Washington,2008,M08,188860,
Washington,2008,M07,183553,
Washington,2008,M06,181375,
Washington,2008,M05,174180,
Washington,2008,M04,160935,
Washington,2008,M03,179880,
Washington,2008,M02,188269,
Washington,2008,M01,182284,
Washington,2007,M12,165150,
Washington,2007,M11,158285,
Washington,2007,M10,143585,
Washington,2007,M09,147847,
Washington,2007,M08,153721,
Washington,2007,M07,156811,
Washington,2007,M06,154763,
Washington,2007,M05,150730,
Washington,2007,M04,149764,
Washington,2007,M03,168358,
Washington,2007,M02,183518,
Washington,2007,M01,185732,
Washington,2006,M12,164601,
Washington,2006,M11,166208,
Washington,2006,M10,146466,
Washington,2006,M09,155441,
Washington,2006,M08,166851,
Washington,2006,M07,167522,
Washington,2006,M06,167755,
Washington,2006,M05,164979,
Washington,2006,M04,158013,
Washington,2006,M03,175481,
Washington,2006,M02,190156,
Washington,2006,M01,184272,
Washington,2005,M12,168935,
Washington,2005,M11,176702,
Washington,2005,M10,162599,
Washington,2005,M09,168854,
Washington,2005,M08,174300,
Washington,2005,M07,175816,
Washington,2005,M06,179965,
Washington,2005,M05,176960,
Washington,2005,M04,177507,
Washington,2005,M03,194626,
Washington,2005,M02,212744,
Washington,2005,M01,206640,
Washington,2004,M12,190381,
Washington,2004,M11,185875,
Washington,2004,M10,172919,
Washington,2004,M09,173593,
Washington,2004,M08,186593,
Washington,2004,M07,191306,
Washington,2004,M06,199413,
Washington,2004,M05,194546,
Washington,2004,M04,198993,
Washington,2004,M03,228140,
Washington,2004,M02,238411,
Washington,2004,M01,243426,
Washington,2003,M12,220647,
Washington,2003,M11,223986,
Washington,2003,M10,208420,
Washington,2003,M09,215396,
Washington,2003,M08,227825,
Washington,2003,M07,229202,
Washington,2003,M06,239141,
Washington,2003,M05,227516,
Washington,2003,M04,231205,
Washington,2003,M03,247667,
Washington,2003,M02,255517,
Washington,2003,M01,251969,
Washington,2002,M12,227670,
Washington,2002,M11,225272,
Washington,2002,M10,204335,
Washington,2002,M09,206321,
Washington,2002,M08,218861,
Washington,2002,M07,220745,
Washington,2002,M06,226304,
Washington,2002,M05,222650,
Washington,2002,M04,233779,
Washington,2002,M03,246766,
Washington,2002,M02,250625,
Washington,2002,M01,253601,
Washington,2001,M12,221613,
Washington,2001,M11,212388,
Washington,2001,M10,186709,
Washington,2001,M09,178912,
Washington,2001,M08,188501,
Washington,2001,M07,179783,
Washington,2001,M06,184914,
Washington,2001,M05,177690,
Washington,2001,M04,178550,
Washington,2001,M03,195905,
Washington,2001,M02,200764,
Washington,2001,M01,192178,
Washington,2000,M12,160303,
Washington,2000,M11,158871,
Washington,2000,M10,140914,
Washington,2000,M09,141916,
Washington,2000,M08,158715,
Washington,2000,M07,155901,
Washington,2000,M06,153912,
Washington,2000,M05,151672,
Washington,2000,M04,146424,
Washington,2000,M03,169206,
Washington,2000,M02,181966,
Washington,2000,M01,174360,
