state,year,period,value,footnotes
South Dakota,2016,M12,13748,Reflects revised population controls and model reestimation.
South Dakota,2016,M11,12215,Reflects revised population controls and model reestimation.
South Dakota,2016,M10,11096,Reflects revised population controls and model reestimation.
South Dakota,2016,M09,11406,Reflects revised population controls and model reestimation.
South Dakota,2016,M08,12510,Reflects revised population controls and model reestimation.
South Dakota,2016,M07,11911,Reflects revised population controls and model reestimation.
South Dakota,2016,M06,12784,Reflects revised population controls and model reestimation.
South Dakota,2016,M05,11951,Reflects revised population controls and model reestimation.
South Dakota,2016,M04,12268,Reflects revised population controls and model reestimation.
South Dakota,2016,M03,14162,Reflects revised population controls and model reestimation.
South Dakota,2016,M02,14734,Reflects revised population controls and model reestimation.
South Dakota,2016,M01,14459,Reflects revised population controls and model reestimation.
South Dakota,2015,M12,13007,Reflects revised population controls and model reestimation.
South Dakota,2015,M11,11943,Reflects revised population controls and model reestimation.
South Dakota,2015,M10,10839,Reflects revised population controls and model reestimation.
South Dakota,2015,M09,11498,Reflects revised population controls and model reestimation.
South Dakota,2015,M08,12812,Reflects revised population controls and model reestimation.
South Dakota,2015,M07,12917,Reflects revised population controls and model reestimation.
South Dakota,2015,M06,13981,Reflects revised population controls and model reestimation.
South Dakota,2015,M05,13983,Reflects revised population controls and model reestimation.
South Dakota,2015,M04,14168,Reflects revised population controls and model reestimation.
South Dakota,2015,M03,16836,Reflects revised population controls and model reestimation.
South Dakota,2015,M02,17121,Reflects revised population controls and model reestimation.
South Dakota,2015,M01,17152,Reflects revised population controls and model reestimation.
South Dakota,2014,M12,15539,Reflects revised population controls and model reestimation.
South Dakota,2014,M11,14729,Reflects revised population controls and model reestimation.
South Dakota,2014,M10,12777,Reflects revised population controls and model reestimation.
South Dakota,2014,M09,13093,Reflects revised population controls and model reestimation.
South Dakota,2014,M08,14106,Reflects revised population controls and model reestimation.
South Dakota,2014,M07,13739,Reflects revised population controls and model reestimation.
South Dakota,2014,M06,14799,Reflects revised population controls and model reestimation.
South Dakota,2014,M05,14717,Reflects revised population controls and model reestimation.
South Dakota,2014,M04,15988,Reflects revised population controls and model reestimation.
South Dakota,2014,M03,18264,Reflects revised population controls and model reestimation.
South Dakota,2014,M02,18465,Reflects revised population controls and model reestimation.
South Dakota,2014,M01,18314,Reflects revised population controls and model reestimation.
South Dakota,2013,M12,16053,Reflects revised population controls and model reestimation.
South Dakota,2013,M11,15499,Reflects revised population controls and model reestimation.
South Dakota,2013,M10,14585,Reflects revised population controls and model reestimation.
South Dakota,2013,M09,14820,Reflects revised population controls and model reestimation.
South Dakota,2013,M08,15766,Reflects revised population controls and model reestimation.
South Dakota,2013,M07,15465,Reflects revised population controls and model reestimation.
