state,year,period,value,footnotes
Pennsylvania,2016,M12,6395720,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M11,6439865,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M10,6461574,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M09,6474896,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M08,6509403,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M07,6572241,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M06,6521308,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M05,6484977,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M04,6459383,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M03,6474709,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M02,6444353,Reflects revised population controls and model reestimation.
Pennsylvania,2016,M01,6425448,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M12,6397621,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M11,6409932,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M10,6402839,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M09,6400395,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M08,6459149,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M07,6526434,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M06,6498014,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M05,6472656,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M04,6393205,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M03,6376420,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M02,6377448,Reflects revised population controls and model reestimation.
Pennsylvania,2015,M01,6396592,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M12,6363345,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M11,6391520,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M10,6400398,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M09,6379200,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M08,6430207,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M07,6497757,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M06,6453591,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M05,6414234,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M04,6349006,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M03,6385327,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M02,6358701,Reflects revised population controls and model reestimation.
Pennsylvania,2014,M01,6366949,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M12,6348682,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M11,6385781,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M10,6379140,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M09,6430850,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M08,6484479,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M07,6548894,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M06,6524732,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M05,6474288,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M04,6414127,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M03,6412277,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M02,6431710,Reflects revised population controls and model reestimation.
Pennsylvania,2013,M01,6468116,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M12,6456516,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M11,6461582,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M10,6488442,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M09,6479252,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M08,6510093,Reflects revised population controls and model reestimation.
Pennsylvania,2012,M07,6571772,Reflects revised population controls and model reestimation.
